"index","name","size","offset","extension"
"298","Data\Levels\FinalAlbion\HobbeCaveNymphFocal.lev","1171350","349990912",".lev"
"299","Data\Levels\FinalAlbion\HeroGuild_Filler_04.lev","993300","351162368",".lev"
"300","Data\Levels\FinalAlbion\DemonDoor_Guild.lev","646434","352157696",".lev"
"301","Data\Levels\FinalAlbion\DemonDoor_Guild_Filler_03.lev","829460","352804864",".lev"
"302","Data\Levels\FinalAlbion\DemonDoor_Guild_Filler_04.lev","860180","353636352",".lev"
"303","Data\Levels\FinalAlbion\DemonDoor_Guild_Filler_01.lev","933908","354498560",".lev"
"304","Data\Levels\FinalAlbion\DemonDoor_Guild_Filler_02.lev","854036","355434496",".lev"
"305","Data\Levels\FinalAlbion\HeroGuild_Filler_02.lev","538706","356290560",".lev"
"306","Data\Levels\FinalAlbion\HeroGuildComplexInside.lev","8923358","356831232",".lev"
"307","Data\Levels\FinalAlbion\HeroGuild_Filler_01.lev","1989377","365756416",".lev"
"308","Data\Levels\FinalAlbion\HeroGuild_Filler_03.lev","2183188","367747072",".lev"
"309","Data\Levels\FinalAlbion\HeroGuild_Filler_05.lev","1214327","369932288",".lev"
"310","Data\Levels\FinalAlbion\HeroGuild_Filler_06.lev","789192","371146752",".lev"
"311","Data\Levels\FinalAlbion\GuildWoods.lev","1790121","371937280",".lev"
"312","Data\Levels\FinalAlbion\HobbeCaveEntranceTunnel.lev","783832","373729280",".lev"
"313","Data\Levels\FinalAlbion\HobbeCaveSideRoom.lev","102420","374513664",".lev"
"314","Data\Levels\FinalAlbion\Hookcoast_Filler_01.lev","4889005","374618112",".lev"
"315","Data\Levels\FinalAlbion\Hookcoast_Filler_02.lev","5402806","379508736",".lev"
"316","Data\Levels\FinalAlbion\HookCoast_Filler_03.lev","4603924","384913408",".lev"
"317","Data\Levels\FinalAlbion\HookCoast.lev","7434511","389519360",".lev"
"318","Data\Levels\FinalAlbion\Bowerstone_Filler_01.lev","4714516","396955648",".lev"
"319","Data\Levels\FinalAlbion\Bowerstone_Filler_02.lev","981012","401672192",".lev"
"320","Data\Levels\FinalAlbion\Bowerstone_Filler_06.lev","350228","402655232",".lev"
"321","Data\Levels\FinalAlbion\BowerstoneTavernCellar.lev","34836","403007488",".lev"
"322","Data\Levels\FinalAlbion\HeroDualAreaCave.lev","290836","403044352",".lev"
"323","Data\Levels\FinalAlbion\DesertedFarm_Filler_04.lev","1421332","403337216",".lev"
"324","Data\Levels\FinalAlbion\DesertedFarm_Filler_03.lev","4501524","404760576",".lev"
"325","Data\Levels\FinalAlbion\ExecutionTree_Filler_02.lev","579604","409264128",".lev"
"326","Data\Levels\FinalAlbion\ExecutionTree_Filler_01.lev","2101268","409845760",".lev"
"327","Data\Levels\FinalAlbion\GraveyardFiller01.lev","1124299","411949056",".lev"
"328","Data\Levels\FinalAlbion\Graveyard_1.lev","3700564","413073408",".lev"
"329","Data\Levels\FinalAlbion\GraveyardFiller02.lev","1060850","416774144",".lev"
"330","Data\Levels\FinalAlbion\GraveyardFiller03.lev","645140","417835008",".lev"
"331","Data\Levels\FinalAlbion\GraveyardPathFiller01.lev","5302292","418482176",".lev"
"332","Data\Levels\FinalAlbion\GraveyardPath.lev","4645214","423786496",".lev"
"333","Data\Levels\FinalAlbion\BowerstonePosh.lev","1728871","428433408",".lev"
"334","Data\Levels\FinalAlbion\Bowerstone_Filler_04.lev","1564692","430163968",".lev"
"335","Data\Levels\FinalAlbion\DesertedFarm.lev","4469811","431730688",".lev"
"336","Data\Levels\FinalAlbion\DesertedFarm_Leadout_01.lev","727060","436201472",".lev"
"337","Data\Levels\FinalAlbion\BowerstoneJail.lev","6047498","436930560",".lev"
"338","Data\Levels\FinalAlbion\BowerstoneJail_Filler_01.lev","4542484","442978304",".lev"
"339","Data\Levels\FinalAlbion\ExecutionTree.lev","2619256","447522816",".lev"
"340","Data\Levels\FinalAlbion\GibbetWoods.lev","2489284","450142208",".lev"
"341","Data\Levels\FinalAlbion\GibbetWoods_Leadout_01.lev","693998","452632576",".lev"
"342","Data\Levels\FinalAlbion\BowerstoneJail_Filler_02.lev","1804308","453326848",".lev"
"343","Data\Levels\FinalAlbion\DesertedFarm_Filler_01.lev","2263060","455133184",".lev"
"344","Data\Levels\FinalAlbion\DesertedFarm_Filler_02.lev","1808404","457398272",".lev"
"345","Data\Levels\FinalAlbion\MayorsHouseHallway.lev","221204","459208704",".lev"
"346","Data\Levels\FinalAlbion\MayorsHouseBedroom.lev","34836","459431936",".lev"
"347","Data\Levels\FinalAlbion\BowerstoneSlums_v2.lev","6243122","459468800",".lev"
"348","Data\Levels\FinalAlbion\GibbetWoodsFiller01.lev","2596346","465713152",".lev"
"349","Data\Levels\FinalAlbion\GibbetWoodsFiller02.lev","1263636","468310016",".lev"
"350","Data\Levels\FinalAlbion\GraveyardEntrance.lev","793875","469575680",".lev"
"351","Data\Levels\FinalAlbion\GraveyardCircle.lev","1441918","470370304",".lev"
"352","Data\Levels\FinalAlbion\GraveyardPathFiller04.lev","1560596","471814144",".lev"
"353","Data\Levels\FinalAlbion\GraveyardPathFiller02.lev","3277701","473376768",".lev"
"354","Data\Levels\FinalAlbion\GraveyardPathFiller03.lev","6753319","476655616",".lev"
"355","Data\Levels\FinalAlbion\PrisonPathFiller01.lev","1138696","483409920",".lev"
"356","Data\Levels\FinalAlbion\PrisonPathFiller02.lev","1208340","484550656",".lev"
"357","Data\Levels\FinalAlbion\PrisonPath.lev","4817440","485761024",".lev"
"358","Data\Levels\FinalAlbion\PrisonIsland.lev","8507412","490579968",".lev"
"359","Data\Levels\FinalAlbion\PrisonPath_Leadout_01.lev","881031","499089408",".lev"
"360","Data\Levels\FinalAlbion\KrakenChamber.lev","2906132","499972096",".lev"
"361","Data\Levels\FinalAlbion\GraveyardSecretPassage_1.lev","1452393","502880256",".lev"
"362","Data\Levels\FinalAlbion\PrisonSecretPassageExterior.lev","3739165","504334336",".lev"
"363","Data\Levels\FinalAlbion\PrisonSecretPassage.lev","1937428","508073984",".lev"
"364","Data\Levels\FinalAlbion\PrisonTortureChamber.lev","34836","510013440",".lev"
"365","Data\Levels\FinalAlbion\PrisonOffice.lev","43028","510050304",".lev"
"366","Data\Levels\FinalAlbion\PrisonCourtyard.lev","2702171","510095360",".lev"
"367","Data\Levels\FinalAlbion\LostBay_Filler_06.lev","1477947","512798720",".lev"
"368","Data\Levels\FinalAlbion\LostBay_Filler_01.lev","2860673","514277376",".lev"
"369","Data\Levels\FinalAlbion\LostBay_Filler_02.lev","2300968","517138432",".lev"
"370","Data\Levels\FinalAlbion\LostBay_Filler_03.lev","127974","519440384",".lev"
"371","Data\Levels\FinalAlbion\LostBay_Filler_05.lev","86036","519569408",".lev"
"372","Data\Levels\FinalAlbion\LostBay_Filler_07.lev","514068","519657472",".lev"
"373","Data\Levels\FinalAlbion\LostBay_Filler_04.lev","2258964","520173568",".lev"
"374","Data\Levels\FinalAlbion\LostBay.lev","2272875","522434560",".lev"
"375","Data\Levels\FinalAlbion\LostBay_Leadout_01.lev","135188","524707840",".lev"
"376","Data\Levels\FinalAlbion\NorthernWastes1_Filler_05.lev","266968","524845056",".lev"
"377","Data\Levels\FinalAlbion\NorthernWastes1.lev","2981971","525113344",".lev"
"378","Data\Levels\FinalAlbion\NorthernWastes1_Leadout_01.lev","414629","528097280",".lev"
"379","Data\Levels\FinalAlbion\NorthernWastes1_Filler_01.lev","1393391","528513024",".lev"
"380","Data\Levels\FinalAlbion\NorthernWastes1_Filler_02.lev","1345903","529907712",".lev"
"381","Data\Levels\FinalAlbion\NorthernWastes1_Filler_06.lev","826950","531255296",".lev"
"382","Data\Levels\FinalAlbion\NorthernWastes1_Filler_03.lev","1169571","532082688",".lev"
"383","Data\Levels\FinalAlbion\NorthernWastes1_Filler_04.lev","561799","533254144",".lev"
"384","Data\Levels\FinalAlbion\DemonDoor_Necropolis_Filler_03.lev","1198100","533817344",".lev"
"385","Data\Levels\FinalAlbion\DemonDoor_Necropolis_Filler_04.lev","1228820","535017472",".lev"
"386","Data\Levels\FinalAlbion\DemonDoor_Necropolis.lev","713641","536248320",".lev"
"387","Data\Levels\FinalAlbion\DemonDoor_Necropolis_Filler_02.lev","1087508","536963072",".lev"
"388","Data\Levels\FinalAlbion\DemonDoor_Necropolis_Filler_01.lev","1185812","538052608",".lev"
"389","Data\Levels\FinalAlbion\NorthernWastes2.lev","5652874","539240448",".lev"
"390","Data\Levels\FinalAlbion\SnowspireVillage_Filler_03.lev","2504724","544894976",".lev"
"391","Data\Levels\FinalAlbion\SnowspireVillage.lev","4722910","547401728",".lev"
"392","Data\Levels\FinalAlbion\SnowspireVillage_Vista_01.lev","1181716","552126464",".lev"
"393","Data\Levels\FinalAlbion\SnowspireVillage_Filler_02.lev","3100692","553310208",".lev"
"394","Data\Levels\FinalAlbion\SnowspireVillage_Filler_01.lev","5187604","556412928",".lev"
"395","Data\Levels\FinalAlbion\NorthernWastes3_Filler_09.lev","1374228","561602560",".lev"
"396","Data\Levels\FinalAlbion\NorthernWastes3_Filler_04.lev","262164","562978816",".lev"
"397","Data\Levels\FinalAlbion\NorthernWastes3_Filler_02.lev","301003","563243008",".lev"
"398","Data\Levels\FinalAlbion\NorthernWastes3_Leadout_02.lev","90132","563544064",".lev"
"399","Data\Levels\FinalAlbion\NorthernWastes3_Filler_05.lev","186388","563636224",".lev"
"400","Data\Levels\FinalAlbion\NorthernWastes3_Filler_01.lev","280596","563824640",".lev"
"401","Data\Levels\FinalAlbion\NorthernWastes3.lev","5023153","564107264",".lev"
"402","Data\Levels\FinalAlbion\NorthernWastes3_Leadout_01.lev","116756","569131008",".lev"
"403","Data\Levels\FinalAlbion\NorthernWastes3_Leadout_03.lev","104468","569249792",".lev"
"404","Data\Levels\FinalAlbion\NorthernWastes3_Filler_06.lev","3267651","569356288",".lev"
"405","Data\Levels\FinalAlbion\NorthernWastes3_Filler_03.lev","1323028","572624896",".lev"
"406","Data\Levels\FinalAlbion\NorthernWastes3_Filler_07.lev","258068","573949952",".lev"
"407","Data\Levels\FinalAlbion\NorthernWastes3_Filler_08.lev","3954708","574210048",".lev"
"408","Data\Levels\FinalAlbion\DragonCliff_Filler_03.lev","2781204","578166784",".lev"
"409","Data\Levels\FinalAlbion\DragonCliff_02.lev","2343393","580950016",".lev"
"410","Data\Levels\FinalAlbion\DragonCliff_Vista_01.lev","1716244","583294976",".lev"
"411","Data\Levels\FinalAlbion\DragonCliff_Vista_02.lev","1816596","585013248",".lev"
"412","Data\Levels\FinalAlbion\DragonCliff_Filler_01.lev","2664468","586831872",".lev"
"413","Data\Levels\FinalAlbion\DragonCliff_Filler_04.lev","1024020","589498368",".lev"
"414","Data\Levels\FinalAlbion\DragonCliff_Filler_02.lev","1142804","590524416",".lev"
"415","Data\Levels\FinalAlbion\PrisonSecretPassageExterior_Filler_01.lev","1693716","591669248",".lev"
"416","Data\Levels\FinalAlbion\PrisonCells_1.lev","196628","593364992",".lev"
"417","Data\Levels\FinalAlbion\PrisonCells_2.lev","196628","593563648",".lev"
"418","Data\Levels\FinalAlbion\FrescoCaves.lev","3088404","593762304",".lev"
"419","Data\Levels\FinalAlbion\FrescoDome.lev","469012","596852736",".lev"
"420","Data\Levels\creature_hub.lev","56946","597323776",".lev"
"421","Data\Levels\FinalAlbion\PrisonBarracks.lev","43028","597381120",".lev"
"422","Data\Levels\FinalAlbion\PrisonCells_3.lev","196628","597426176",".lev"
"423","__STATIC_MAP_COMMON_HEADER__","293292","597624832",""
