"id","region_name","display_name","region_def","minimap","minimap_scale","appear_on_world_map","contains_count","sees_count","contains_maps","sees_maps"
"44","HeroGuildComplexInside","TXT_REGION_HERO_GUILD","REGION_HERO_GUILD_COMPLEX_INSIDE","MINIMAP_HEROGUILDCOMPLEXINSIDE","1.0","","1","7","FinalAlbion\HeroGuildComplexInside.lev","FinalAlbion\HeroGuild_Filler_02.lev;FinalAlbion\HeroGuild_Filler_01.lev;FinalAlbion\HeroGuild_Filler_03.lev;FinalAlbion\GuildWoods.lev;FinalAlbion\HeroGuild_Filler_04.lev;FinalAlbion\HeroGuild_Filler_05.lev;FinalAlbion\HeroGuild_Filler_06.lev"
"45","Witchwood2","TXT_REGION_WITCHWOOD_2","REGION_WITCHWOOD_STONES","MINIMAP_WITCHWOOD2","1.0","","4","14","FinalAlbion\Witchwood_Leadout_02.lev;FinalAlbion\Witchwood_3.lev;FinalAlbion\Witchwood_4.lev;FinalAlbion\Witchwood_Leadout_03.lev","FinalAlbion\Witchwood_Filler_26.lev;FinalAlbion\Witchwood_Filler_24.lev;FinalAlbion\Witchwood_Leadout_01.lev;FinalAlbion\Witchwood_Filler_11.lev;FinalAlbion\Witchwood_Filler_03.lev;FinalAlbion\Witchwood_Filler_01.lev;FinalAlbion\Witchwood_Filler_18.lev;FinalAlbion\Witchwood_Filler_15.lev;FinalAlbion\Witchwood_Filler_14.lev;FinalAlbion\Witchwood_Filler_05.lev;FinalAlbion\Witchwood_Filler_04.lev;FinalAlbion\Witchwood_Leadout_04.lev;FinalAlbion\Witchwood_5.lev;FinalAlbion\Witchwood_Filler_07.lev"
"46","Witchwood3","TXT_REGION_WITCHWOOD_3","REGION_TEMPLE_AVO","MINIMAP_WITCHWOOD3","1.0","","3","10","FinalAlbion\Witchwood_5.lev;FinalAlbion\Witchwood_Leadout_04.lev;FinalAlbion\Witchwood_Leadout_05.lev","FinalAlbion\Witchwood_Filler_04.lev;FinalAlbion\Witchwood_4.lev;FinalAlbion\Witchwood_Leadout_03.lev;FinalAlbion\Witchwood_Filler_18.lev;FinalAlbion\Witchwood_Filler_01.lev;FinalAlbion\Witchwood_Filler_06.lev;FinalAlbion\Witchwood_Filler_22.lev;FinalAlbion\Witchwood_Leadout_06.lev;FinalAlbion\Witchwood_Filler_21.lev;FinalAlbion\Witchwood_Filler_09.lev"
"47","Witchwood4","TXT_REGION_WITCHWOOD_4","REGION_WITCHWOOD_LAKE","MINIMAP_WITCHWOOD4","1.0","","6","12","FinalAlbion\Witchwood_7.lev;FinalAlbion\Witchwood_9.lev;FinalAlbion\Witchwood_6.lev;FinalAlbion\Witchwood_Leadout_06.lev;FinalAlbion\KnotholeGlade_Leadout_01.lev;FinalAlbion\Witchwood_Leadout_08.lev","FinalAlbion\Witchwood_Filler_09.lev;FinalAlbion\Witchwood_Filler_21.lev;FinalAlbion\Witchwood_Leadout_05.lev;FinalAlbion\Witchwood_Filler_22.lev;FinalAlbion\Witchwood_Filler_10.lev;FinalAlbion\Witchwood_Filler_16.lev;FinalAlbion\Witchwood_Filler_27.lev;FinalAlbion\KnotholeGlade_Filler_03.lev;FinalAlbion\KnotholeGlade_Leadout_02.lev;FinalAlbion\Witchwood_Filler_28.lev;FinalAlbion\Witchwood_Filler_29.lev;FinalAlbion\Arena_Leadout_01.lev"
"48","FrescoDome","TXT_REGION_FRESCO_DOME","REGION_FRESCO_DOME","MINIMAP_FRESCODOME","1.0","","1","0","FinalAlbion\FrescoDome.lev",""
"49","BanditCampCentre","TXT_REGION_BANDIT_CAMP_CENTRE","REGION_BANDIT_CAMP_ELITES","MINIMAP_BANDITCAMPCENTRE","1.0","","1","8","FinalAlbion\BanditCampResidential.lev","FinalAlbion\BanditCamp_Filler_04.lev;FinalAlbion\BanditCamp_Filler_05.lev;FinalAlbion\BanditCamp_Filler_06.lev;FinalAlbion\BanditCamp_Filler_03.lev;FinalAlbion\BanditCamp_Filler_02.lev;FinalAlbion\BanditCamp_Filler_01.lev;FinalAlbion\BanditCampPath_Filler_03.lev;FinalAlbion\BanditCampPath_Filler_13.lev"
"50","BanditCampBoss","TXT_REGION_BANDIT_CAMP_BOSS","REGION_BANDIT_CAMP_TENT","MINIMAP_BANDITCAMPBOSS","1.0","","1","5","FinalAlbion\BanditCampBoss.lev","FinalAlbion\BanditCamp_Filler_06.lev;FinalAlbion\BanditCamp_Filler_03.lev;FinalAlbion\BanditCamp_Filler_05.lev;FinalAlbion\BanditCamp_Filler_02.lev;FinalAlbion\BanditCamp_Filler_04.lev"
"51","PrisonCells_2","TXT_REGION_PRISON_BLOCK_B","REGION_PRISON_INTERIOR_BLOCK_B","MINIMAP_PRISONCELLS2","1.0","","1","0","FinalAlbion\PrisonCells_2.lev",""
"52","PrisonCells_3","TXT_REGION_PRISON_BLOCK_C","REGION_PRISON_INTERIOR_BLOCK_C","MINIMAP_PRISONCELLS","1.0","","1","0","FinalAlbion\PrisonCells_3.lev",""
"53","PrisonSecretPassageExterior","TXT_REGION_SECRET_PASSAGE_EXTERNAL","REGION_SECRET_PASSAGE_EXTERNAL","MINIMAP_PRISONSECRETPASSAGEEXTERIOR","1.0","","1","1","FinalAlbion\PrisonSecretPassageExterior.lev","FinalAlbion\PrisonSecretPassageExterior_Filler_01.lev"
"54","Darkwood2","TXT_REGION_DARKWOOD_2","REGION_DARKWOOD_MARSHES","MINIMAP_DARKWOOD2","1.0","","4","53","FinalAlbion\Darkwood4_Leadout_01.lev;FinalAlbion\Darkwood_4.lev;FinalAlbion\Darkwood_3.lev;FinalAlbion\Darkwood3_Leadout_01.lev","FinalAlbion\Darkwood_Filler_17.lev;FinalAlbion\BarrowFields_Filler_02.lev;FinalAlbion\Darkwood_Filler_16.lev;FinalAlbion\Darkwood_10.lev;FinalAlbion\Darkwood_11.lev;FinalAlbion\BarrowFields_Filler_04.lev;FinalAlbion\Darkwood_Filler_01.lev;FinalAlbion\Darkwood_Filler_03.lev;FinalAlbion\Darkwood10_Leadout_01.lev;FinalAlbion\Darkwood_Filler_02.lev;FinalAlbion\Darkwood9_Leadout_01.lev;FinalAlbion\Darkwood_Filler_15.lev;FinalAlbion\Darkwood_9.lev;FinalAlbion\Darkwood_8.lev;FinalAlbion\Darkwood_Filler_04.lev;FinalAlbion\Darkwood_Filler_05.lev;FinalAlbion\Darkwood7_Leadout_01.lev;FinalAlbion\Darkwood8_Leadout_01.lev;FinalAlbion\Darkwood_Filler_18.lev;FinalAlbion\Darkwood_Filler_31.lev;FinalAlbion\Darkwood_Filler_19.lev;FinalAlbion\Darkwood_6.lev;FinalAlbion\Darkwood_Filler_14.lev;FinalAlbion\Darkwood6_Leadout_01.lev;FinalAlbion\Darkwood_5.lev;FinalAlbion\Darkwood_Filler_20.lev;FinalAlbion\Darkwood_Filler_24.lev;FinalAlbion\Darkwood_Filler_25.lev;FinalAlbion\Darkwood_Filler_09.lev;FinalAlbion\Darkwood5_Leadout_01.lev;FinalAlbion\Darkwood_Filler_08.lev;FinalAlbion\Darkwood7_Leadout_02.lev;FinalAlbion\Darkwood_7.lev;FinalAlbion\Darkwood_Filler_06.lev;FinalAlbion\Darkwood_Filler_07.lev;FinalAlbion\Darkwood_Filler_29.lev;FinalAlbion\Darkwood_Filler_12.lev;FinalAlbion\Darkwood_Filler_30.lev;FinalAlbion\Darkwood_Filler_11.lev;FinalAlbion\DarkwoodChapel.lev;FinalAlbion\Darkwood_Filler_10.lev;FinalAlbion\DarkwoodChapel_Leadout_01.lev;FinalAlbion\Darkwood7_Leadout_03.lev;FinalAlbion\Darkwood_Filler_13.lev;FinalAlbion\Darkwood_Filler_22.lev;FinalAlbion\Darkwood_Filler_21.lev;FinalAlbion\Darkwood.lev;FinalAlbion\Darkwood_Leadout_02.lev;FinalAlbion\Darkwood_Filler_26.lev;FinalAlbion\Darkwood_Filler_28.lev;FinalAlbion\Darkwood_Leadout_01.lev;FinalAlbion\Darkwood_Filler_23.lev;FinalAlbion\Darkwood_Filler_27.lev"
"55","Darkwood3","TXT_REGION_DARKWOOD_3","REGION_DARKWOOD_LAKE","MINIMAP_DARKWOOD3","1.0","","4","53","FinalAlbion\Darkwood6_Leadout_01.lev;FinalAlbion\Darkwood_6.lev;FinalAlbion\Darkwood_5.lev;FinalAlbion\Darkwood5_Leadout_01.lev","FinalAlbion\Darkwood_Filler_18.lev;FinalAlbion\Darkwood_Filler_15.lev;FinalAlbion\Darkwood_Filler_31.lev;FinalAlbion\Darkwood_Filler_19.lev;FinalAlbion\Darkwood_Filler_20.lev;FinalAlbion\Darkwood_Filler_09.lev;FinalAlbion\Darkwood_Filler_08.lev;FinalAlbion\Darkwood4_Leadout_01.lev;FinalAlbion\Darkwood_4.lev;FinalAlbion\Darkwood.lev;FinalAlbion\Darkwood_Filler_21.lev;FinalAlbion\Darkwood_Filler_24.lev;FinalAlbion\Darkwood_Filler_25.lev;FinalAlbion\Darkwood_Filler_26.lev;FinalAlbion\Darkwood_Leadout_02.lev;FinalAlbion\Darkwood_Leadout_01.lev;FinalAlbion\Darkwood_Filler_28.lev;FinalAlbion\Darkwood_Filler_23.lev;FinalAlbion\Darkwood_Filler_27.lev;FinalAlbion\Darkwood_3.lev;FinalAlbion\Darkwood3_Leadout_01.lev;FinalAlbion\Darkwood_Filler_22.lev;FinalAlbion\Darkwood_Filler_13.lev;FinalAlbion\Darkwood_Filler_11.lev;FinalAlbion\Darkwood_Filler_10.lev;FinalAlbion\Darkwood_Filler_30.lev;FinalAlbion\Darkwood_Filler_12.lev;FinalAlbion\Darkwood_Filler_29.lev;FinalAlbion\Darkwood_Filler_07.lev;FinalAlbion\DarkwoodChapel.lev;FinalAlbion\Darkwood_Filler_06.lev;FinalAlbion\DarkwoodChapel_Leadout_01.lev;FinalAlbion\Darkwood7_Leadout_03.lev;FinalAlbion\Darkwood_7.lev;FinalAlbion\Darkwood_Filler_14.lev;FinalAlbion\Darkwood7_Leadout_02.lev;FinalAlbion\Darkwood_Filler_05.lev;FinalAlbion\Darkwood8_Leadout_01.lev;FinalAlbion\Darkwood7_Leadout_01.lev;FinalAlbion\Darkwood_8.lev;FinalAlbion\Darkwood_Filler_04.lev;FinalAlbion\Darkwood_Filler_03.lev;FinalAlbion\Darkwood_9.lev;FinalAlbion\Darkwood_Filler_01.lev;FinalAlbion\Darkwood9_Leadout_01.lev;FinalAlbion\Darkwood10_Leadout_01.lev;FinalAlbion\Darkwood_Filler_02.lev;FinalAlbion\Darkwood_Filler_16.lev;FinalAlbion\Darkwood_11.lev;FinalAlbion\Darkwood_10.lev;FinalAlbion\Darkwood_Filler_17.lev;FinalAlbion\BarrowFields_Filler_02.lev;FinalAlbion\BarrowFields_Filler_04.lev"
"56","Darkwood4","TXT_REGION_TRADER_CAMP","REGION_DARKWOOD_CAMP","MINIMAP_DARKWOOD4","1.0","","4","53","FinalAlbion\Darkwood7_Leadout_01.lev;FinalAlbion\Darkwood_7.lev;FinalAlbion\Darkwood7_Leadout_03.lev;FinalAlbion\Darkwood7_Leadout_02.lev","FinalAlbion\Darkwood_Filler_14.lev;FinalAlbion\Darkwood_8.lev;FinalAlbion\Darkwood8_Leadout_01.lev;FinalAlbion\Darkwood_Filler_05.lev;FinalAlbion\Darkwood_Filler_04.lev;FinalAlbion\Darkwood_Filler_03.lev;FinalAlbion\Darkwood_Filler_01.lev;FinalAlbion\Darkwood_9.lev;FinalAlbion\Darkwood_Filler_02.lev;FinalAlbion\Darkwood9_Leadout_01.lev;FinalAlbion\Darkwood_10.lev;FinalAlbion\Darkwood10_Leadout_01.lev;FinalAlbion\Darkwood_11.lev;FinalAlbion\BarrowFields_Filler_02.lev;FinalAlbion\BarrowFields_Filler_04.lev;FinalAlbion\Darkwood_Filler_17.lev;FinalAlbion\Darkwood_Filler_16.lev;FinalAlbion\Darkwood_Filler_15.lev;FinalAlbion\Darkwood_Filler_18.lev;FinalAlbion\Darkwood_6.lev;FinalAlbion\Darkwood6_Leadout_01.lev;FinalAlbion\Darkwood_Filler_09.lev;FinalAlbion\Darkwood_5.lev;FinalAlbion\Darkwood5_Leadout_01.lev;FinalAlbion\Darkwood_Filler_08.lev;FinalAlbion\Darkwood_4.lev;FinalAlbion\Darkwood_3.lev;FinalAlbion\Darkwood_Filler_10.lev;FinalAlbion\Darkwood_Filler_11.lev;FinalAlbion\DarkwoodChapel.lev;FinalAlbion\DarkwoodChapel_Leadout_01.lev;FinalAlbion\Darkwood_Filler_30.lev;FinalAlbion\Darkwood_Filler_12.lev;FinalAlbion\Darkwood_Filler_29.lev;FinalAlbion\Darkwood_Filler_07.lev;FinalAlbion\Darkwood_Filler_06.lev;FinalAlbion\Darkwood_Filler_19.lev;FinalAlbion\Darkwood_Filler_20.lev;FinalAlbion\Darkwood4_Leadout_01.lev;FinalAlbion\Darkwood_Filler_21.lev;FinalAlbion\Darkwood3_Leadout_01.lev;FinalAlbion\Darkwood_Filler_13.lev;FinalAlbion\Darkwood_Filler_23.lev;FinalAlbion\Darkwood_Filler_22.lev;FinalAlbion\Darkwood.lev;FinalAlbion\Darkwood_Leadout_01.lev;FinalAlbion\Darkwood_Filler_31.lev;FinalAlbion\Darkwood_Filler_24.lev;FinalAlbion\Darkwood_Filler_25.lev;FinalAlbion\Darkwood_Filler_28.lev;FinalAlbion\Darkwood_Filler_26.lev;FinalAlbion\Darkwood_Leadout_02.lev;FinalAlbion\Darkwood_Filler_27.lev"
"57","DarkwoodChapel","TXT_REGION_CHAPEL_OF_EVIL","REGION_CHAPEL_SKORM","MINIMAP_DARKWOODCHAPEL","1.0","","2","55","FinalAlbion\DarkwoodChapel_Leadout_01.lev;FinalAlbion\DarkwoodChapel.lev","FinalAlbion\Darkwood_Filler_30.lev;FinalAlbion\Darkwood_Filler_12.lev;FinalAlbion\Darkwood_Filler_11.lev;FinalAlbion\Darkwood_Filler_06.lev;FinalAlbion\Darkwood_Filler_07.lev;FinalAlbion\Darkwood_Filler_29.lev;FinalAlbion\Darkwood_Filler_04.lev;FinalAlbion\Darkwood_Filler_05.lev;FinalAlbion\Darkwood_8.lev;FinalAlbion\Darkwood_Filler_03.lev;FinalAlbion\Darkwood_Filler_01.lev;FinalAlbion\Darkwood_11.lev;FinalAlbion\BarrowFields_Filler_02.lev;FinalAlbion\BarrowFields_Filler_04.lev;FinalAlbion\Darkwood_Filler_17.lev;FinalAlbion\Darkwood_10.lev;FinalAlbion\Darkwood_Filler_16.lev;FinalAlbion\Darkwood_Filler_15.lev;FinalAlbion\Darkwood10_Leadout_01.lev;FinalAlbion\Darkwood_Filler_02.lev;FinalAlbion\Darkwood9_Leadout_01.lev;FinalAlbion\Darkwood_9.lev;FinalAlbion\Darkwood8_Leadout_01.lev;FinalAlbion\Darkwood7_Leadout_01.lev;FinalAlbion\Darkwood7_Leadout_02.lev;FinalAlbion\Darkwood6_Leadout_01.lev;FinalAlbion\Darkwood_6.lev;FinalAlbion\Darkwood_Filler_14.lev;FinalAlbion\Darkwood_7.lev;FinalAlbion\Darkwood7_Leadout_03.lev;FinalAlbion\Darkwood_Filler_10.lev;FinalAlbion\Darkwood_Filler_18.lev;FinalAlbion\Darkwood_5.lev;FinalAlbion\Darkwood_Filler_09.lev;FinalAlbion\Darkwood_Filler_19.lev;FinalAlbion\Darkwood_Filler_31.lev;FinalAlbion\Darkwood_Filler_25.lev;FinalAlbion\Darkwood_Filler_26.lev;FinalAlbion\Darkwood_Filler_27.lev;FinalAlbion\Darkwood_Filler_24.lev;FinalAlbion\Darkwood_Leadout_02.lev;FinalAlbion\Darkwood.lev;FinalAlbion\Darkwood_Filler_23.lev;FinalAlbion\Darkwood_Filler_28.lev;FinalAlbion\Darkwood_Leadout_01.lev;FinalAlbion\Darkwood_Filler_20.lev;FinalAlbion\Darkwood_Filler_21.lev;FinalAlbion\Darkwood3_Leadout_01.lev;FinalAlbion\Darkwood_Filler_22.lev;FinalAlbion\Darkwood_Filler_13.lev;FinalAlbion\Darkwood_3.lev;FinalAlbion\Darkwood5_Leadout_01.lev;FinalAlbion\Darkwood_4.lev;FinalAlbion\Darkwood_Filler_08.lev;FinalAlbion\Darkwood4_Leadout_01.lev"
"58","Darkwood5","TXT_REGION_DARKWOOD_5","REGION_ANCIENT_CULLIS","MINIMAP_DARKWOOD5","1.0","","4","53","FinalAlbion\Darkwood9_Leadout_01.lev;FinalAlbion\Darkwood_9.lev;FinalAlbion\Darkwood_8.lev;FinalAlbion\Darkwood8_Leadout_01.lev","FinalAlbion\Darkwood_Filler_17.lev;FinalAlbion\BarrowFields_Filler_02.lev;FinalAlbion\Darkwood_Filler_16.lev;FinalAlbion\Darkwood_10.lev;FinalAlbion\Darkwood_Filler_02.lev;FinalAlbion\Darkwood10_Leadout_01.lev;FinalAlbion\Darkwood_11.lev;FinalAlbion\BarrowFields_Filler_04.lev;FinalAlbion\Darkwood_Filler_01.lev;FinalAlbion\Darkwood_Filler_03.lev;FinalAlbion\Darkwood_Filler_04.lev;FinalAlbion\Darkwood_Filler_05.lev;FinalAlbion\Darkwood7_Leadout_01.lev;FinalAlbion\Darkwood_Filler_07.lev;FinalAlbion\Darkwood_Filler_15.lev;FinalAlbion\Darkwood_Filler_18.lev;FinalAlbion\Darkwood_Filler_19.lev;FinalAlbion\Darkwood_Filler_31.lev;FinalAlbion\Darkwood_Filler_24.lev;FinalAlbion\Darkwood_Filler_20.lev;FinalAlbion\Darkwood_5.lev;FinalAlbion\Darkwood_6.lev;FinalAlbion\Darkwood_Filler_14.lev;FinalAlbion\Darkwood_Filler_09.lev;FinalAlbion\Darkwood6_Leadout_01.lev;FinalAlbion\Darkwood7_Leadout_02.lev;FinalAlbion\Darkwood5_Leadout_01.lev;FinalAlbion\Darkwood_Filler_08.lev;FinalAlbion\Darkwood4_Leadout_01.lev;FinalAlbion\Darkwood_4.lev;FinalAlbion\Darkwood_7.lev;FinalAlbion\Darkwood_Filler_06.lev;FinalAlbion\Darkwood7_Leadout_03.lev;FinalAlbion\DarkwoodChapel_Leadout_01.lev;FinalAlbion\Darkwood_Filler_29.lev;FinalAlbion\Darkwood_Filler_12.lev;FinalAlbion\DarkwoodChapel.lev;FinalAlbion\Darkwood_Filler_10.lev;FinalAlbion\Darkwood_3.lev;FinalAlbion\Darkwood_Filler_11.lev;FinalAlbion\Darkwood_Filler_30.lev;FinalAlbion\Darkwood_Filler_21.lev;FinalAlbion\Darkwood.lev;FinalAlbion\Darkwood_Filler_25.lev;FinalAlbion\Darkwood_Filler_26.lev;FinalAlbion\Darkwood_Leadout_02.lev;FinalAlbion\Darkwood_Filler_27.lev;FinalAlbion\Darkwood_Filler_23.lev;FinalAlbion\Darkwood_Leadout_01.lev;FinalAlbion\Darkwood_Filler_28.lev;FinalAlbion\Darkwood3_Leadout_01.lev;FinalAlbion\Darkwood_Filler_13.lev;FinalAlbion\Darkwood_Filler_22.lev"
"59","Darkwood6","TXT_REGION_DARKWOOD_6","REGION_DARKWOOD_WEIR","MINIMAP_DARKWOOD6","0.8","","3","54","FinalAlbion\Darkwood_11.lev;FinalAlbion\Darkwood_10.lev;FinalAlbion\Darkwood10_Leadout_01.lev","FinalAlbion\Darkwood_Filler_16.lev;FinalAlbion\Darkwood_Filler_17.lev;FinalAlbion\Darkwood_Filler_02.lev;FinalAlbion\Darkwood_Filler_15.lev;FinalAlbion\Darkwood_Filler_01.lev;FinalAlbion\BarrowFields_Filler_04.lev;FinalAlbion\BarrowFields_Filler_02.lev;FinalAlbion\Darkwood9_Leadout_01.lev;FinalAlbion\Darkwood_9.lev;FinalAlbion\Darkwood_Filler_03.lev;FinalAlbion\Darkwood_Filler_04.lev;FinalAlbion\Darkwood_8.lev;FinalAlbion\Darkwood_Filler_05.lev;FinalAlbion\Darkwood7_Leadout_01.lev;FinalAlbion\Darkwood8_Leadout_01.lev;FinalAlbion\Darkwood_Filler_06.lev;FinalAlbion\Darkwood_Filler_12.lev;FinalAlbion\Darkwood_Filler_18.lev;FinalAlbion\Darkwood_Filler_31.lev;FinalAlbion\Darkwood_Filler_19.lev;FinalAlbion\Darkwood_Filler_25.lev;FinalAlbion\Darkwood_Filler_26.lev;FinalAlbion\Darkwood_Filler_27.lev;FinalAlbion\Darkwood_Filler_24.lev;FinalAlbion\Darkwood_Filler_20.lev;FinalAlbion\Darkwood_5.lev;FinalAlbion\Darkwood_6.lev;FinalAlbion\Darkwood_Filler_14.lev;FinalAlbion\Darkwood_7.lev;FinalAlbion\Darkwood7_Leadout_02.lev;FinalAlbion\Darkwood6_Leadout_01.lev;FinalAlbion\Darkwood_Filler_09.lev;FinalAlbion\Darkwood5_Leadout_01.lev;FinalAlbion\Darkwood_Filler_08.lev;FinalAlbion\Darkwood4_Leadout_01.lev;FinalAlbion\Darkwood.lev;FinalAlbion\Darkwood_Leadout_02.lev;FinalAlbion\Darkwood_Filler_21.lev;FinalAlbion\Darkwood_4.lev;FinalAlbion\Darkwood_Filler_23.lev;FinalAlbion\Darkwood_Leadout_01.lev;FinalAlbion\Darkwood_Filler_28.lev;FinalAlbion\Darkwood_Filler_13.lev;FinalAlbion\Darkwood_Filler_22.lev;FinalAlbion\Darkwood_3.lev;FinalAlbion\Darkwood3_Leadout_01.lev;FinalAlbion\Darkwood_Filler_10.lev;FinalAlbion\Darkwood7_Leadout_03.lev;FinalAlbion\DarkwoodChapel_Leadout_01.lev;FinalAlbion\Darkwood_Filler_11.lev;FinalAlbion\Darkwood_Filler_30.lev;FinalAlbion\DarkwoodChapel.lev;FinalAlbion\Darkwood_Filler_07.lev;FinalAlbion\Darkwood_Filler_29.lev"
"60","GibbetWoods","TXT_REGION_GIBBETWOODS","REGION_GIBBET_WOODS","MINIMAP_GIBBETWOODS","1.0","","2","26","FinalAlbion\GibbetWoods.lev;FinalAlbion\GibbetWoods_Leadout_01.lev","FinalAlbion\DesertedFarm_Filler_01.lev;FinalAlbion\DesertedFarm.lev;FinalAlbion\DesertedFarm_Filler_02.lev;FinalAlbion\DesertedFarm_Leadout_01.lev;FinalAlbion\GibbetWoodsFiller01.lev;FinalAlbion\GibbetWoodsFiller02.lev;FinalAlbion\ExecutionTree.lev;FinalAlbion\ExecutionTree_Filler_01.lev;FinalAlbion\ExecutionTree_Filler_02.lev;FinalAlbion\Graveyard_1.lev;FinalAlbion\GraveyardEntrance.lev;FinalAlbion\GraveyardFiller01.lev;FinalAlbion\DesertedFarm_Filler_03.lev;FinalAlbion\BowerstoneJail.lev;FinalAlbion\BowerstoneJail_Filler_02.lev;FinalAlbion\BowerstoneJail_Filler_01.lev;FinalAlbion\Bowerstone_Filler_04.lev;FinalAlbion\Bowerstone_Filler_05.lev;FinalAlbion\Bowerstone_Filler_06.lev;FinalAlbion\BowerstoneSlums_Filler_01.lev;FinalAlbion\Bowerstone_Filler_02.lev;FinalAlbion\Bowerstone_Filler_03.lev;FinalAlbion\BowerstoneSlums_Filler_03.lev;FinalAlbion\BowerstoneSlums_Filler_02.lev;FinalAlbion\Bowerstone_Filler_01.lev;FinalAlbion\DesertedFarm_Filler_04.lev"
"61","DesertedFarm","TXT_REGION_DESERTEDFARM","REGION_WINDMILL_HILL","MINIMAP_DESERTEDFARM","1.0","","2","23","FinalAlbion\DesertedFarm.lev;FinalAlbion\DesertedFarm_Leadout_01.lev","FinalAlbion\BowerstoneJail.lev;FinalAlbion\DesertedFarm_Filler_02.lev;FinalAlbion\DesertedFarm_Filler_01.lev;FinalAlbion\BowerstoneJail_Filler_01.lev;FinalAlbion\DesertedFarm_Filler_03.lev;FinalAlbion\BowerstoneJail_Filler_02.lev;FinalAlbion\Bowerstone_Filler_04.lev;FinalAlbion\Bowerstone_Filler_05.lev;FinalAlbion\BowerstonePosh.lev;FinalAlbion\Bowerstone_Filler_01.lev;FinalAlbion\Bowerstone_Filler_02.lev;FinalAlbion\Bowerstone_Filler_06.lev;FinalAlbion\BowerstoneSlums_Filler_01.lev;FinalAlbion\Bowerstone_Filler_03.lev;FinalAlbion\BowerstoneSlums_Filler_03.lev;FinalAlbion\BowerstoneSlums_Filler_02.lev;FinalAlbion\ExecutionTree_Filler_02.lev;FinalAlbion\ExecutionTree_Filler_01.lev;FinalAlbion\ExecutionTree.lev;FinalAlbion\GibbetWoods.lev;FinalAlbion\GibbetWoods_Leadout_01.lev;FinalAlbion\GibbetWoodsFiller01.lev;FinalAlbion\DesertedFarm_Filler_04.lev"
"62","BowerstoneJail","TXT_REGION_BOWERSTONEJAIL","REGION_BOWERSTONE_JAIL","MINIMAP_BOWERSTONEJAIL","1.0","","1","24","FinalAlbion\BowerstoneJail.lev","FinalAlbion\BowerstoneJail_Filler_01.lev;FinalAlbion\DesertedFarm_Filler_03.lev;FinalAlbion\Bowerstone_Filler_02.lev;FinalAlbion\Bowerstone_Filler_01.lev;FinalAlbion\Bowerstone_Filler_06.lev;FinalAlbion\DesertedFarm.lev;FinalAlbion\DesertedFarm_Filler_01.lev;FinalAlbion\DesertedFarm_Filler_02.lev;FinalAlbion\BowerstoneJail_Filler_02.lev;FinalAlbion\Bowerstone_Filler_04.lev;FinalAlbion\BowerstonePosh.lev;FinalAlbion\ExecutionTree_Filler_02.lev;FinalAlbion\ExecutionTree_Filler_01.lev;FinalAlbion\ExecutionTree.lev;FinalAlbion\GibbetWoods_Leadout_01.lev;FinalAlbion\DesertedFarm_Leadout_01.lev;FinalAlbion\GibbetWoods.lev;FinalAlbion\GibbetWoodsFiller01.lev;FinalAlbion\BowerstoneSlums_Filler_01.lev;FinalAlbion\Bowerstone_Filler_03.lev;FinalAlbion\BowerstoneSlums_Filler_03.lev;FinalAlbion\BowerstoneSlums_Filler_02.lev;FinalAlbion\Bowerstone_Filler_05.lev;FinalAlbion\DesertedFarm_Filler_04.lev"
"63","ExecutionTree","TXT_REGION_EXECUTIONTREE","REGION_HEADMANS_HILL","MINIMAP_EXECUTIONTREE","1.0","","1","33","FinalAlbion\ExecutionTree.lev","FinalAlbion\DesertedFarm_Filler_01.lev;FinalAlbion\DesertedFarm.lev;FinalAlbion\DesertedFarm_Filler_02.lev;FinalAlbion\GibbetWoods_Leadout_01.lev;FinalAlbion\DesertedFarm_Leadout_01.lev;FinalAlbion\GibbetWoods.lev;FinalAlbion\GibbetWoodsFiller01.lev;FinalAlbion\GibbetWoodsFiller02.lev;FinalAlbion\GraveyardEntrance.lev;FinalAlbion\GraveyardFiller01.lev;FinalAlbion\GraveyardFiller03.lev;FinalAlbion\Graveyard_1.lev;FinalAlbion\ExecutionTree_Filler_01.lev;FinalAlbion\ExecutionTree_Filler_02.lev;FinalAlbion\DesertedFarm_Filler_03.lev;FinalAlbion\BowerstoneJail_Filler_01.lev;FinalAlbion\Bowerstone_Filler_02.lev;FinalAlbion\Bowerstone_Filler_06.lev;FinalAlbion\Bowerstone_Filler_01.lev;FinalAlbion\BowerstoneJail.lev;FinalAlbion\BowerstonePosh.lev;FinalAlbion\BowerstoneJail_Filler_02.lev;FinalAlbion\Bowerstone_Filler_04.lev;FinalAlbion\Bowerstone_Filler_05.lev;FinalAlbion\BowerstoneSlumsWarehouses.lev;FinalAlbion\Bowerstone_Filler_03.lev;FinalAlbion\BowerstoneSlums_Filler_01.lev;FinalAlbion\BowerstoneSlums_Filler_03.lev;FinalAlbion\BowerstoneSlums_Filler_02.lev;FinalAlbion\LookoutPoint_Filler_02.lev;FinalAlbion\LookoutPoint_Filler_03.lev;FinalAlbion\LookoutPoint_Filler_04.lev;FinalAlbion\DesertedFarm_Filler_04.lev"
