004048e0	Identity_ReturnArg	autoname-t6 [medium]: returns param_1 unchanged; trivial identity/passthrough function
008841e0	StdList_Ctor_sz14_008841e0	autoname-t6 [medium]: malloc(0x14) proxy node, count=0, node[8]/node[c]=self (next/prev sentinel), node[0]/node[4]=0 = std::list default ctor
00884620	StdList_Ctor_sz20_00884620	autoname-t6 [medium]: malloc(0x20) proxy node, count=0, sentinel next/prev self = std::list default ctor
008aefe0	StdList_Ctor_sz18_008aefe0	autoname-t6 [medium]: malloc(0x18) proxy node, count=0, sentinel next/prev self = std::list default ctor
008afcc0	StdList_Ctor_sz18_008afcc0	autoname-t6 [medium]: malloc(0x18) proxy node, count=0, sentinel next/prev self = std::list default ctor
008b2790	StdList_Ctor_sz18_008b2790	autoname-t6 [medium]: malloc(0x18) proxy node, count=0, sentinel next/prev self = std::list default ctor
008b2820	StdList_Ctor_sz18_008b2820	autoname-t6 [medium]: malloc(0x18) proxy node, count=0, sentinel next/prev self = std::list default ctor
008b28b0	StdList_Ctor_sz18_008b28b0	autoname-t6 [medium]: malloc(0x18) proxy node, count=0, sentinel next/prev self = std::list default ctor
008b2c20	StdList_Ctor_sz18_008b2c20	autoname-t6 [medium]: malloc(0x18) proxy node, count=0, sentinel next/prev self = std::list default ctor
008b2cb0	StdList_Ctor_sz18_008b2cb0	autoname-t6 [medium]: malloc(0x18) proxy node, count=0, sentinel next/prev self = std::list default ctor
008b2d40	StdList_Ctor_sz18_008b2d40	autoname-t6 [medium]: malloc(0x18) proxy node, count=0, sentinel next/prev self = std::list default ctor
008ebdb0	ListSentinel_Ctor_sz10_008ebdb0	autoname-t6 [medium]: malloc(0x10); self-referential next/prev = empty circular list sentinel ctor
008ebff0	ListSentinel_Ctor_sz10_008ebff0	autoname-t6 [medium]: malloc(0x10); self-referential next/prev = empty circular list sentinel ctor
008f9f30	ListSentinel_Ctor_szc_008f9f30	autoname-t6 [medium]: malloc(0xc); self-referential next/prev = empty circular list sentinel ctor
008fa040	ListSentinel_Ctor_szc_008fa040	autoname-t6 [medium]: malloc(0xc); self-referential next/prev = empty circular list sentinel ctor
008fbd20	ListSentinel_Ctor_sz10_008fbd20	autoname-t6 [medium]: malloc(0x10); self-referential next/prev = empty circular list sentinel ctor
0094b730	ReturnTrue_0094b730	autoname-t6 [high]: Body is just return 1 (constant true stub)
00987670	ReturnParam_Identity_00987670	autoname-t6 [high]: Returns param_1 unchanged (identity/pass-through stub)
00987700	ReturnParam_Identity_00987700	autoname-t6 [high]: Returns param_1 unchanged (identity/pass-through stub)
009aa690	ListSentinel_Ctor_sz10_009aa690	autoname-t6 [medium]: malloc(0x10); self-referential next/prev = empty circular list sentinel ctor
009ac290	ListSentinel_Ctor_sz10_009ac290	autoname-t6 [medium]: malloc(0x10); self-referential next/prev = empty circular list sentinel ctor
009b3f00	StdList_Ctor_sz18_009b3f00	autoname-t6 [medium]: malloc(0x18) proxy node, count=0, sentinel next/prev self = std::list default ctor
009b6f40	StdList_Ctor_sz18_009b6f40	autoname-t6 [medium]: malloc(0x18) proxy node, count=0, sentinel next/prev self = std::list default ctor
009b8c00	Vector_InsertOrReallocPair_DefClassInfo	autoname-t6 [medium]: caller std::make_heap_pair_fixup; callees _Move_backward on pair<ulong,CDefClassInfo>, CCharString::operator=, insertion-sort shift: vector insert-with-realloc
009bdec0	ListSentinel_Ctor_sz24_009bdec0	autoname-t6 [medium]: malloc(0x24); self-referential next/prev = empty circular list sentinel ctor
009be170	ListSentinel_Ctor_sz24_009be170	autoname-t6 [medium]: malloc(0x24); self-referential next/prev = empty circular list sentinel ctor
009c2200	ListSentinel_Ctor_szc_009c2200	autoname-t6 [medium]: malloc(0xc); self-referential next/prev = empty circular list sentinel ctor
009c2540	ListSentinel_Ctor_szc_009c2540	autoname-t6 [medium]: malloc(0xc); self-referential next/prev = empty circular list sentinel ctor
009c25f0	StdList_Ctor_sz20_009c25f0	autoname-t6 [medium]: malloc(0x20) proxy node, count=0, sentinel next/prev self = std::list default ctor
009c26e0	StdList_Ctor_sz14_009c26e0	autoname-t6 [medium]: malloc(0x14) proxy node, count=0, sentinel next/prev self = std::list default ctor
009c2b00	StdList_Ctor_sz20_009c2b00	autoname-t6 [medium]: malloc(0x20) proxy node, count=0, sentinel next/prev self = std::list default ctor
009c2bd0	StdList_Ctor_sz14_009c2bd0	autoname-t6 [medium]: malloc(0x14) proxy node, count=0, sentinel next/prev self = std::list default ctor
009c6710	ListSentinel_Ctor_sz14_009c6710	autoname-t6 [medium]: malloc(0x14); self-referential next/prev = empty circular list sentinel ctor
009c67b0	ListSentinel_Ctor_szc_009c67b0	autoname-t6 [medium]: malloc(0xc); self-referential next/prev = empty circular list sentinel ctor
009c68d0	ListSentinel_Ctor_sz10_009c68d0	autoname-t6 [medium]: malloc(0x10); self-referential next/prev = empty circular list sentinel ctor
009c6910	ListSentinel_Ctor_szb8_009c6910	autoname-t6 [medium]: malloc(0xb8); self-referential next/prev = empty circular list sentinel ctor
009c6ac0	ListSentinel_Ctor_sz14_009c6ac0	autoname-t6 [medium]: malloc(0x14); self-referential next/prev = empty circular list sentinel ctor
009c6b60	ListSentinel_Ctor_szc_009c6b60	autoname-t6 [medium]: malloc(0xc); self-referential next/prev = empty circular list sentinel ctor
009c7000	ListSentinel_Ctor_sz10_009c7000	autoname-t6 [medium]: malloc(0x10); self-referential next/prev = empty circular list sentinel ctor
009c7730	ListSentinel_Ctor_szb8_009c7730	autoname-t6 [medium]: malloc(0xb8); self-referential next/prev = empty circular list sentinel ctor
009d2ab0	StdList_Ctor_sz20_009d2ab0	autoname-t6 [medium]: malloc(0x20) proxy node, count=0, sentinel next/prev self = std::list default ctor
009d3890	StdList_Ctor_sz18_009d3890	autoname-t6 [medium]: malloc(0x18) proxy node, count=0, sentinel next/prev self = std::list default ctor
009d46d0	StdList_Ctor_sz20_009d46d0	autoname-t6 [medium]: malloc(0x20) proxy node, count=0, sentinel next/prev self = std::list default ctor
009d7740	ListSentinel_Ctor_sz10_009d7740	autoname-t6 [medium]: malloc(0x10); self-referential next/prev = empty circular list sentinel ctor
009d7b40	StdList_Ctor_sz14_009d7b40	autoname-t6 [medium]: malloc(0x14) proxy node, count=0, sentinel next/prev self = std::list default ctor
009d7e10	StdTree_DefaultCtor_9d7e10	autoname-t6 [medium]: malloc(0x14) then head-node init (*node=0,+4=0,+8/+0xc=self, size param_1[1]=0) = std::_Tree default ctor
009d80c0	StdList_DefaultCtor_9d80c0	autoname-t6 [medium]: malloc(0x10), node->next=node->prev=node (circular sentinel) = std::list default ctor
009d8410	StdTree_DefaultCtor_9d8410	autoname-t6 [medium]: malloc(0x28) + tree head-node self-ref init (size=0) = std::_Tree default ctor
009d8530	StdTree_DefaultCtor_9d8530	autoname-t6 [medium]: malloc(0x28) + tree head-node self-ref init identical to 9d8410 = std::_Tree default ctor
009e4810	StdList_DefaultCtor_9e4810	autoname-t6 [medium]: malloc(0x40), node self-linked next/prev = std::list default ctor
009e48d0	StdList_DefaultCtor_9e48d0	autoname-t6 [medium]: malloc(0x40), node self-linked next/prev = std::list default ctor
009e6a70	ParticleMorphs_FindEntryByKey	autoname-t6 [medium]: unrolled-by-4 search over pair<EHeroMorphType,CParticleMorphs::CEntry>, compares string keys via CBasicString::Compare, calls _Cons_val
009e98c0	Vector_PushBackByte	autoname-t6 [medium]: push_back of 1-byte element (copies *param_2 single byte), falls back to vector_reallocate_with_padding on full
009ebcb0	Vector_InitAndAppendFour	autoname-t6 [medium]: zero-inits vector then appends four u32 (param_2..param_5) via VectorInsertElementRange growth
009eeb90	StdList_DefaultCtor_9eeb90	autoname-t6 [medium]: malloc(0x18), node self-linked next/prev = std::list default ctor
009eee90	StdList_DefaultCtor_9eee90	autoname-t6 [medium]: malloc(0x18), node self-linked next/prev = std::list default ctor
009eef50	StdTree_DefaultCtor_9eef50	autoname-t6 [medium]: malloc(0x18) + tree head-node self-ref init (size=0) = std::_Tree default ctor
009eefd0	StdTree_DefaultCtor_9eefd0	autoname-t6 [medium]: malloc(0x1c) + tree head-node self-ref init (size=0) = std::_Tree default ctor
009ef870	StdTree_DefaultCtor_9ef870	autoname-t6 [medium]: malloc(0x18) + tree head-node self-ref init (size=0) = std::_Tree default ctor
009efdf0	Vector_PushBackPolymorphicEntry	autoname-t6 [medium]: push_back of 0x1c-byte record with vtable PTR__vector_deleting_destructor + embedded CCharString copy; grows via std::vector_insert_fill_range
009eff60	StdTree_DefaultCtor_9eff60	autoname-t6 [medium]: malloc(0x1c) + tree head-node self-ref init (size=0) = std::_Tree default ctor
009f0ef0	StdTree_DefaultCtor_9f0ef0	autoname-t6 [medium]: malloc(0x24) + tree head-node self-ref init (size=0) = std::_Tree default ctor
009f13c0	StdTree_DefaultCtor_9f13c0	autoname-t6 [medium]: malloc(0x24) + tree head-node self-ref init (size=0) = std::_Tree default ctor
009f5600	CInputEventVector_PushBackAt0x14	autoname-t6 [high]: push_back of CInputEvent (elem 0x34) at vector base +0x14, bumps count at +0x1c; CInputEvent::CInputEvent + std__vector_CInputEvent_insert
009f6d50	CInputEventVector_PushBackAt0x04	autoname-t6 [high]: push_back of CInputEvent (elem 0x34) at vector base +0x04; CInputEvent::CInputEvent + std__vector_CInputEvent_insert
009f76f0	AllocArray_0x18Elements	autoname-t6 [medium]: returns malloc(count*0x18) or NULL when count==0 = array allocator for 0x18-byte elements
009f79d0	StdList_EraseNode	autoname-t6 [medium]: unlinks node (prev->next=next,next->prev=prev) then free(node) = list node erase; uses EH_epilog3 frame
009f7a30	StdList_DefaultCtor_9f7a30	autoname-t6 [medium]: malloc(0x18), node self-linked next/prev = std::list default ctor
009f7bb0	StdList_DefaultCtor_9f7bb0	autoname-t6 [medium]: malloc(0x18), node self-linked next/prev = std::list default ctor
009f8740	StdList_DefaultCtor_9f8740	autoname-t6 [medium]: malloc(0x40), node self-linked next/prev = std::list default ctor
009f8ab0	StdList_DefaultCtor_9f8ab0	autoname-t6 [medium]: malloc(0x40), node self-linked next/prev = std::list default ctor
00a220a0	StdTree_DefaultCtor_a220a0	autoname-t6 [medium]: malloc(0x18) + tree head-node self-ref init (size=0) = std::_Tree default ctor
00a22360	StdTree_DefaultCtor_a22360	autoname-t6 [medium]: malloc(0x28) + tree head-node self-ref init (size=0) = std::_Tree default ctor
00a2b890	StdTree_DefaultCtor_a2b890	autoname-t6 [medium]: malloc(0x20) + tree head-node self-ref init (size=0) = std::_Tree default ctor
00a2b8d0	StdTree_DefaultCtor_a2b8d0	autoname-t6 [medium]: malloc(0x1c) + tree head-node self-ref init (size=0) = std::_Tree default ctor
00a2c960	Vector_ReallocInsert_CScriptThing	autoname-t6 [medium]: caller vector_push_back_generic; mallocs cap*0x10, _Uninit_copy of CScriptThing, frees old buffer, updates begin/end/cap (this[0..2])
00a2cfa0	StdTree_DefaultCtor_ExtraFields_a2cfa0	autoname-t6 [medium]: tree head-node init (malloc 0x18) plus two extra owner fields param_1[3]=param_1[4]=0 = map/set wrapper default ctor
00a2d050	StdTree_DefaultCtor_a2d050	autoname-t6 [medium]: malloc(0x14) + tree head-node self-ref init (size=0) = std::_Tree default ctor
00a2d250	StdTree_DefaultCtor_a2d250	autoname-t6 [medium]: malloc(0x1c) + tree head-node self-ref init (size=0) = std::_Tree default ctor
00a2e200	StdTree_DefaultCtor_a2e200	autoname-t6 [medium]: malloc(0x20) + tree head-node self-ref init (size=0) = std::_Tree default ctor
00a39510	StdTree_DefaultCtor_a39510	autoname-t6 [medium]: malloc(0x14) + tree head-node self-ref init (size=0) = std::_Tree default ctor
00a3ff40	StdList_DefaultCtor_a3ff40	autoname-t6 [medium]: malloc(0xc), node self-linked next/prev = std::list default ctor
00a40150	StdList_DefaultCtor_a40150	autoname-t6 [medium]: malloc(0xc), node self-linked next/prev = std::list default ctor
00a46530	Vector_InsertConditionalShift_Decal	autoname-t6 [medium]: caller _Copy_impl; callees _Move_backward on pair<pair<long,long>,CEngineTextureDecal>, CCharString::operator=, Vector_Insert_ConditionalShift
00a47ed0	StdList_DefaultCtor_a47ed0	autoname-t6 [medium]: malloc(0xc), node self-linked next/prev = std::list default ctor
00a47f30	StdList_DefaultCtor_a47f30	autoname-t6 [medium]: malloc(0xc), node self-linked next/prev = std::list default ctor
00a54110	StdList_DefaultCtor_a54110	autoname-t6 [medium]: malloc(0x10), node self-linked next/prev = std::list default ctor
00a544a0	StdList_DefaultCtor_a544a0	autoname-t6 [medium]: malloc(0x10), node self-linked next/prev = std::list default ctor
00a544e0	StdTree_DefaultCtor_a544e0	autoname-t6 [medium]: malloc(0x18) + tree head-node self-ref init (size=0) = std::_Tree default ctor
00a54e10	StdTree_DefaultCtor_a54e10	autoname-t6 [medium]: malloc(0x18) + tree head-node self-ref init (size=0) = std::_Tree default ctor
00a611d0	StdTree_DefaultCtor_a611d0	autoname-t6 [medium]: malloc(0x34) + tree head-node self-ref init (size=0) = std::_Tree default ctor
00a61730	StdTree_DefaultCtor_a61730	autoname-t6 [medium]: malloc(0x34) + tree head-node self-ref init (size=0) = std::_Tree default ctor
00a68910	CVolumeTexture_ExtractSlicesToTextures	autoname-t6 [medium]: locks CVolumeTexture, reads CPixelFormat depth, loops slices copying rows into per-slice CTexture::Initialise/Lock/Unlock
00a78680	PackedKeyList_Construct	autoname-t6 [medium]: __thiscall builds list header (malloc 0x10 self-linked) with packed key *param_1=param_2<<0x10 ^ param_3&0xffff, param_1[2]=0
00a7f450	StdList_DefaultCtor_a7f450	autoname-t6 [medium]: malloc(0x14), node self-linked next/prev = std::list default ctor
00a7f4b0	StdList_DefaultCtor_a7f4b0	autoname-t6 [medium]: malloc(0xc), node self-linked next/prev = std::list default ctor
00a7f550	StdList_DefaultCtor_a7f550	autoname-t6 [medium]: malloc(0xc), node self-linked next/prev = std::list default ctor
00a80480	StdList_DefaultCtor_a80480	autoname-t6 [medium]: malloc(0xc), node self-linked next/prev = std::list default ctor
00a80520	StdList_DefaultCtor_a80520	autoname-t6 [medium]: malloc(0xc), node self-linked next/prev = std::list default ctor
00a84b80	StdList_DefaultCtor_a84b80	autoname-t6 [medium]: malloc(0x14), node self-linked next/prev = std::list default ctor
00aaca40	StdList_DefaultCtor_aaca40	autoname-t6 [medium]: malloc(0x10), node self-linked next/prev = std::list default ctor
00aacd60	StdList_DefaultCtor_aacd60	autoname-t6 [medium]: malloc(0x10), node self-linked next/prev = std::list default ctor
00ac3a10	Object_FreeBufferAndDelete	autoname-t6 [medium]: frees held pointer *param_1 then operator_delete(param_1) = deleting destructor releasing owned buffer
00ad2f20	StdTree_DefaultCtor_ad2f20	autoname-t6 [medium]: malloc(0x18) + tree head-node self-ref init (size=0) = std::_Tree default ctor
00ad2f60	LTextTreeWalkThrough_Destruct	autoname-t6 [high]: calls LTextBinTree<LTextGroup*>::LTextTreeWalkThrough::BuildTreeArray, resets tree head links, frees buffer = LTextTreeWalkThrough destructor
00ad2fb0	StdTree_DefaultCtor_ad2fb0	autoname-t6 [medium]: malloc(0x20) + tree head-node self-ref init (size=0) = std::_Tree default ctor
00ad3010	StdTreeMap_Construct_ad3010	autoname-t6 [medium]: malloc + node[+8]/[+0xc]=self head-node with size field param_1[1]=0 = std::_Tree ctor (0x1c node)
00ad3150	StdTreeMap_Construct_ad3150	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x20
00ad3960	StdTreeMap_Construct_ad3960	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x18
00ad39a0	LTextBinTree_Destroy_ad39a0	autoname-t6 [high]: typed LTextTreeWalkThrough; calls LTextBinTree<LTextGroup*>::BuildTreeArray then resets head and frees = tree clear/destruct
00ad49c0	StdTreeMap_Construct_ad49c0	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x14
00ad4f30	StdTreeMap_Destruct_ad4f30	autoname-t6 [medium]: calls Utility_DestroyRefcountedTreeNode on root then frees head = std::_Tree destructor
00ad5dc0	StdTreeMap_Construct_ad5dc0	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x20
00ad5e00	StdTreeMap_Destruct_ad5e00	autoname-t6 [medium]: calls Utility_DestroyRefcountedTreeNode then free = _Tree destructor
00ad5f00	StdTreeMap_Destruct_ad5f00	autoname-t6 [medium]: calls Utility_DestroyRefcountedTreeNode then free = _Tree destructor
00ad6610	StdTreeMap_Construct_ad6610	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x1c
00ad6650	StdTreeMap_Destruct_ad6650	autoname-t6 [medium]: calls Utility_DestroyRefcountedTreeNode then free = _Tree destructor
00ad6810	StdTreeMap_Destruct_ad6810	autoname-t6 [medium]: calls TreeNode_DestructWithRefcount on root then free = _Tree destructor
00ad72c0	StdTreeMap_Construct_ad72c0	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x20
00ad7300	StdTreeMap_Destruct_ad7300	autoname-t6 [medium]: calls TreeNode_DestructWithRefcount then free = _Tree destructor
00adb180	StdList_Construct_adb180	autoname-t6 [medium]: malloc 0x20; node->next=node, node->prev=node = std::list head-node ctor
00adb5a0	StdTreeMap_Construct_adb5a0	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x1c
00adb890	StdTreeMap_Construct_adb890	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x1c
00adc930	StdList_Construct_adc930	autoname-t6 [medium]: malloc 0x20; self-referential next/prev = std::list head-node ctor
00aeb940	StdList_ConstructWithArg_aeb940	autoname-t6 [medium]: list head-node ctor (malloc 0x10, self-ref) then stores param_2 at param_1[1]
00aec610	StdList_Construct_aec610	autoname-t6 [medium]: malloc 0x10; self-referential next/prev = std::list head-node ctor
00aec960	StdList_Construct_aec960	autoname-t6 [medium]: malloc 0x10; self-referential next/prev = std::list head-node ctor
00af66f0	StdList_Construct_af66f0	autoname-t6 [medium]: malloc 0xc; self-referential next/prev = std::list head-node ctor
00af6750	StdList_Construct_af6750	autoname-t6 [medium]: malloc 0xc; self-referential next/prev = std::list head-node ctor
00af6bf0	StdList_Construct_af6bf0	autoname-t6 [medium]: malloc 0xc; self-referential next/prev = std::list head-node ctor
00af6c40	StdList_Construct_af6c40	autoname-t6 [medium]: malloc 0xc; self-referential next/prev = std::list head-node ctor
00b09e20	StdList_Construct_b09e20	autoname-t6 [medium]: malloc 0x18; self-referential next/prev = std::list head-node ctor
00b09ed0	StdList_Construct_b09ed0	autoname-t6 [medium]: malloc 0x18; self-referential next/prev = std::list head-node ctor
00b0f770	StdList_Construct_b0f770	autoname-t6 [medium]: malloc 0x10; self-referential next/prev = std::list head-node ctor
00b0f7f0	StdList_Construct_b0f7f0	autoname-t6 [medium]: malloc 0x10; self-referential next/prev = std::list head-node ctor
00b84b20	RadixSort_CountingPass_b84b20	autoname-t6 [high]: 1024-bucket histogram over 8-byte (key,value) pairs, 10-bit digit (shift param_4*10 & 0x3ff), prefix sum, scatter into param_2 = radix/counting sort pass
00b968e0	StdTreeMap_Construct_b968e0	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x1c
00b96ae0	StdTreeMap_Construct_b96ae0	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x20
00b96b20	StdTreeMap_Construct_b96b20	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x30
00b97130	StdTreeMap_Construct_b97130	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x30
00b97fc0	StdTreeMap_Construct_b97fc0	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x1c
00b980c0	StdTreeMap_Construct_b980c0	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x1c
00b981f0	StdTreeMap_Construct_b981f0	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x1c
00b98850	StdTreeMap_Construct_b98850	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x20
00bce3e0	StdTreeMap_Construct_bce3e0	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x1c
00bce5a0	StdTreeMap_Construct_bce5a0	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x1c
00bd86f0	StdTreeMap_Construct_bd86f0	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x20
00bd9080	StdTreeMap_Construct_bd9080	autoname-t6 [medium]: same _Tree head-node ctor pattern, malloc 0x20
00bdaaa0	StdList_Construct_bdaaa0	autoname-t6 [medium]: malloc 0xc; self-referential next/prev = std::list head-node ctor
00bdab30	StdList_Construct_bdab30	autoname-t6 [medium]: malloc 0xc; self-referential next/prev = std::list head-node ctor
00bdac50	StdList_Construct_bdac50	autoname-t6 [medium]: malloc 0xc; self-referential next/prev = std::list head-node ctor
00bdacc0	StdList_Construct_bdacc0	autoname-t6 [medium]: malloc 0xc; self-referential next/prev = std::list head-node ctor
00bdad30	StdList_Construct_bdad30	autoname-t6 [medium]: malloc 0xc; self-referential next/prev = std::list head-node ctor
00bdae60	StdList_Construct_bdae60	autoname-t6 [medium]: malloc 0xc; self-referential next/prev = std::list head-node ctor (void return)
00bdae80	StdList_Construct_bdae80	autoname-t6 [medium]: malloc 0xc; self-referential next/prev = std::list head-node ctor (void return)
00bdaea0	StdList_Construct_bdaea0	autoname-t6 [medium]: malloc 0xc; self-referential next/prev = std::list head-node ctor (void return)
00c09c90	Collection_TransferAllFrom_c09c90	autoname-t6 [medium]: same reserve-then-drain-and-append template clone
00c09f80	Collection_TransferAllFrom_c09f80	autoname-t6 [medium]: same reserve-then-drain-and-append template clone
00c0a1b0	Collection_TransferAllFrom_c0a1b0	autoname-t6 [medium]: same reserve-then-drain-and-append template clone
00c0f5d0	Collection_TransferAllFrom_c0f5d0	autoname-t6 [medium]: reserves this+src combined size (vtbl 0x3c/0x28/0x10) then drains src (vtbl 0x2c/0x20) adding each to this (0x24) = move-append all elements
00c0f7d0	Collection_TransferAllFrom_c0f7d0	autoname-t6 [medium]: same reserve-then-drain-and-append template clone
00c0f9d0	Collection_TransferAllFrom_c0f9d0	autoname-t6 [medium]: same reserve-then-drain-and-append template clone
00c0fc00	Collection_TransferAllFrom_c0fc00	autoname-t6 [medium]: same reserve-then-drain-and-append template clone
00c115d0	CTCInventory_ProcessButtonARelease_c115d0	autoname-t6 [medium]: SEH-wrapped; calls NInventory::CTCInventoryBase::ProcessButtonAReleased on this+0x2c then virtual 0x1c
00c127c0	CTCInventory_DumpCombatActionDebug_c127c0	autoname-t6 [medium]: loops count at this+0x228, TextureIndex_GetByProperties per entry, Thiscall_CombatActionDebugFormat + Playback_LogStatus = debug dump loop
00c15540	Collection_TransferAllFrom_c15540	autoname-t6 [medium]: same reserve-then-drain-and-append template clone
00c156a0	Collection_TransferAllFrom_c156a0	autoname-t6 [medium]: same reserve-then-drain-and-append template clone
00c19cb0	ClothingSuitPartMap_InsertNode_c19cb0	autoname-t6 [medium]: SEH-wrapped std::_Cons_val for pair<EClothingSuitPart,long> then virtual 0x3c = map node insert
00c19d20	ClothingSuitPartMap_InsertNode_c19d20	autoname-t6 [medium]: SEH-wrapped std::_Cons_val for pair<EClothingSuitPart,long> then virtual 0x3c = map node insert
00c19d90	ClothingSuitPartMap_InsertNode_c19d90	autoname-t6 [medium]: SEH-wrapped _Cons_val pair<EClothingSuitPart,long> then two vtable-0x28 dispatches with PTR_LAB tables = map insert variant
00c271d0	SoundObject_SetVtable_c271d0	autoname-t6 [medium]: single store *param_1=&PTR_GetSoundsCurrentLayer_012b4034 = ctor setting sound-layer vtable
00c27af0	SoundObject_Construct_c27af0	autoname-t6 [medium]: sets &PTR_GetSoundsCurrentLayer_012b4034 vtable and zeros three fields = sound-layer object ctor
00c2e480	ProcessResourceChunksUntilQuickAssignFails	autoname-t6 [medium]: iterates collection at (*this+0x10) via vtable count/get, calls C3DAnimationSequence_ProcessResourceChunk then stops if !GetCanItemBeQuickAssigned
00c2ea30	ProcessAllAnimationEvents	autoname-t6 [medium]: iterates collection at (*this+0x20) via vtable count(+0x3c)/get(+0x34), calls AnimationEvent_Process on each
00c2ea70	ProcessAllAnimationEventMappings	autoname-t6 [medium]: iterates collection at (*this+0x20), calls AnimationEvent_ProcessMapping on each element
00c2eab0	ProcessAllEventTriggerDrivers	autoname-t6 [medium]: iterates collection at (*this+0x10), calls EventTrigger_ProcessSingleDriver(*elem, elem+3) on each
00c2f070	PKCAutoDelete_AssertCheckedAndClear_Vsync	autoname-t6 [medium]: PKCAutoDelete.h "Shouls have checked first..." assert via NScript operator&& chain; clears *param_1 and returns old; caller ProcessLoadingFrame_Vsync
00c2f190	PKCAutoDelete_AssertCheckedAndClear_Water	autoname-t6 [medium]: identical PKCAutoDelete assert-and-clear pattern; caller CMessageEvent_ProcessLoadingFrame_Water
00c2f2b0	PKCAutoDelete_AssertCheckedAndClear_Graphics	autoname-t6 [medium]: identical PKCAutoDelete assert-and-clear pattern; caller CMessageEvent_ProcessLoadingFrame_Graphics
00c364a0	PropertyContainerObject_Construct	autoname-t6 [medium]: __thiscall ctor: sets vtable PTR_LAB_012b5180, RedblackTree_NodeCtor, CDateAndTime ctor, CCamera_InitializeOcclusionGrid; caller CTCPropertyContainer_InitializeObject
00c372c0	PropertyContainerNode_Construct	autoname-t6 [medium]: __thiscall ctor: sets vtable PTR_LAB_012b51f0, RedblackTree_NodeCtor, invokes vtable+0x24; caller CTCPropertyContainer_InitializeObject
00c3b440	NodeList_TransferAll_c3b440	autoname-t6 [medium]: Reserves via this[1]->vf10(param2->vf3c()+node->vf28()) then loops param2->vf2c/vf20 moving each into this->vf24; splice/transfer of all elements
00c44ce0	World_RegisterResourceStrings	autoname-t6 [medium]: caller CWorld::OnResourceAllocate; loops array at (*(this+4)+8), CWStringParser_FindOrCreate each, virtual-calls +0x24 on obj at this+0x50
00c452f0	NodeList_TransferAll_c452f0	autoname-t6 [medium]: Byte-identical to c3b440: element transfer loop (param2->vf2c/vf20 -> this->vf24) with pre-reserve
00c45440	NodeList_TransferAll_c45440	autoname-t6 [medium]: Byte-identical container element-transfer loop (template instantiation)
00c46bb0	NodeList_TransferAll_c46bb0	autoname-t6 [medium]: Byte-identical container element-transfer loop (template instantiation)
00c479a0	NodeList_TransferAll_c479a0	autoname-t6 [medium]: Byte-identical container element-transfer loop (template instantiation)
00c47af0	NodeList_TransferAll_c47af0	autoname-t6 [medium]: Byte-identical container element-transfer loop (template instantiation)
00c48960	SyncQueue_TryEnqueueLocked_A	autoname-t6 [medium]: RAII lock via CTCHeroExperience::AddSuccessfulBlockParry ctor; checks vtable+0xc, PKCSemaphore_Release, pushes via vtable+4; caller _Cons_val
00c48a00	SyncQueue_TryEnqueueLocked_B	autoname-t6 [medium]: identical locked try-enqueue pattern; caller CTCHeroStats_ProcessStateTransition
00c48b40	SyncQueue_TryEnqueueLocked_C	autoname-t6 [medium]: identical locked try-enqueue pattern; caller CTCHeroStats_ProcessStateTransition
00c48be0	SyncQueue_TryEnqueueLocked_D	autoname-t6 [medium]: identical locked try-enqueue pattern; caller CTCHeroStats_ProcessStateTransition
00c48c80	SyncQueue_TryEnqueueLocked_E	autoname-t6 [medium]: identical locked try-enqueue pattern; caller CTCHeroStats_ProcessStateTransition
00c49d50	RingBuffer_PushLocked	autoname-t6 [medium]: RAII lock; if not full writes at (this+0x1c)+(this+0x24)*4, increments count(+0x20), wraps head(+0x24) mod capacity(+0x18)
00c49dd0	RingBuffer_GetCountLocked	autoname-t6 [medium]: RAII lock; returns (this+0x24)-(this+0x20) wrapped by capacity(+0x18); caller EntranceManager_SetAsLocked
00c4bd70	SyncQueue_TryEnqueueLocked_F	autoname-t6 [medium]: identical locked try-enqueue pattern (AddSuccessfulBlockParry/PKCSemaphore_Release); no named caller
