class	header	size	named_members	status	note
CCombatAbilityBlockUnarmedAttackDef	_quarantine/CCombatAbilityBlockUnarmedAttackDef.h	92	1	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCombatAbilityBlockingData	CCombatAbilityBlockingData.h	52	5	OK	0 retail files
CCombatAbilityData	CCombatAbilityData.h	24	5	OK	0 retail files
CCombatAbilityFlourishCounterAttackDef	CCombatAbilityFlourishCounterAttackDef.h	72	1	OK	0 retail files
CCombatAbilityGetHitCounterAttackDef	_quarantine/CCombatAbilityGetHitCounterAttackDef.h	72	0	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCombatAbilityMeleeAttackData	CCombatAbilityMeleeAttackData.h	32	3	OK	0 retail files
CCombatAbilityProjectileAttackData	CCombatAbilityProjectileAttackData.h	32	2	OK	0 retail files
CCombatAbilityStrafeDef	CCombatAbilityStrafeDef.h	68	1	OK	1 retail files
CCombatAbilityStrafingData	CCombatAbilityStrafingData.h	28	1	OK	0 retail files
CCombatAbilityUseProjectileWeaponDef	_quarantine/CCombatAbilityUseProjectileWeaponDef.h	72	1	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCombatActionBase	_quarantine/CCombatActionBase.h	300	29	QUARANTINED	2 conflict(s) in 1 file(s) vs 1 agreeing
CCombatAction_ControlledStrafeJump	CCombatAction_ControlledStrafeJump.h	328	7	OK	0 retail files
CCombatAction_GenericBreakOffDrain	_quarantine/CCombatAction_GenericBreakOffDrain.h	300	0	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCombatAction_GenericResponseToDecapitation	CCombatAction_GenericResponseToDecapitation.h	300	0	OK	1 retail files
CCombatAction_GenericResponseToDrain	_quarantine/CCombatAction_GenericResponseToDrain.h	300	0	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCombatAction_GenericResponseToExplosion	CCombatAction_GenericResponseToExplosion.h	336	8	OK	0 retail files
CCombatAction_GenericStrikeResponseBase	_quarantine/CCombatAction_GenericStrikeResponseBase.h	352	15	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCombatAction_GenericStrikeResponseKnockdown	CCombatAction_GenericStrikeResponseKnockdown.h	340	11	OK	0 retail files
CCombatAction_GenericStrikeResponseKnockdownRecoverBase	CCombatAction_GenericStrikeResponseKnockdownRecoverBase.h	304	2	OK	0 retail files
CCombatAction_GenericStrikeResponseKnockdownRecoverFromDeath	CCombatAction_GenericStrikeResponseKnockdownRecoverFromDeath.h	304	0	OK	0 retail files
CCombatAction_KickThingOnGround	CCombatAction_KickThingOnGround.h	328	7	OK	0 retail files
CCombatAction_RecoverFromDazed	_quarantine/CCombatAction_RecoverFromDazed.h	300	0	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCombatAction_StabThing	CCombatAction_StabThing.h	312	3	OK	0 retail files
CCombatAction_StrikeResponseJackOfBladesIntoRush	CCombatAction_StrikeResponseJackOfBladesIntoRush.h	356	1	OK	0 retail files
CCombatAction_StrikeResponseScorpionKing	CCombatAction_StrikeResponseScorpionKing.h	352	0	OK	0 retail files
CCombatAction_WillEnflameInto	CCombatAction_WillEnflameInto.h	304	1	OK	0 retail files
CCombatAction_WillForcePushInto	_quarantine/CCombatAction_WillForcePushInto.h	300	0	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCombatAction_WillShieldInto	CCombatAction_WillShieldInto.h	308	2	OK	0 retail files
CCombatDialogueDef	_quarantine/CCombatDialogueDef.h	144	20	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCombatSequence2StrikeCombo	CCombatSequence2StrikeCombo.h	44	0	OK	1 retail files
CCombatSequenceBase	_quarantine/CCombatSequenceBase.h	44	7	QUARANTINED	1 conflict(s) in 1 file(s) vs 1 agreeing
CCombatSequenceDef	_quarantine/CCombatSequenceDef.h	112	9	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCombatSequenceGeneric	CCombatSequenceGeneric.h	48	2	OK	4 retail files
CCombatSequenceJacksCombo	CCombatSequenceJacksCombo.h	44	0	OK	0 retail files
CCombatSequenceNonInterruptable2StrikeCombo	CCombatSequenceNonInterruptable2StrikeCombo.h	44	0	OK	0 retail files
CCombatSequenceUnblockableFacing	CCombatSequenceUnblockableFacing.h	44	0	OK	0 retail files
CCombatSequenceWhisperAdvance	CCombatSequenceWhisperAdvance.h	44	0	OK	1 retail files
CCombatSequenceWhisperAttack360	CCombatSequenceWhisperAttack360.h	44	1	OK	1 retail files
CCombatSequenceWhisperAttackBigCombo	CCombatSequenceWhisperAttackBigCombo.h	44	1	OK	1 retail files
CCombatSequenceWhisperAttackCombo	CCombatSequenceWhisperAttackCombo.h	44	0	OK	0 retail files
CCombatSequenceWhisperBoast	CCombatSequenceWhisperBoast.h	44	0	OK	0 retail files
CCombatSequenceWhisperIdles	CCombatSequenceWhisperIdles.h	44	0	OK	0 retail files
CCombatSequenceWhisperLunge	CCombatSequenceWhisperLunge.h	44	0	OK	0 retail files
CCombatSequenceWhisperSortYourselfOut	CCombatSequenceWhisperSortYourselfOut.h	44	0	OK	0 retail files
CCombatSequenceWhisperStrafeAround	CCombatSequenceWhisperStrafeAround.h	44	0	OK	1 retail files
CCombatSequenceWhisperStrikeStrafeBack	CCombatSequenceWhisperStrikeStrafeBack.h	44	0	OK	0 retail files
CCombatSequenceWhisperTooCloseLeapBack	CCombatSequenceWhisperTooCloseLeapBack.h	44	0	OK	0 retail files
CCombatSequence_BanditAdvanceFar	CCombatSequence_BanditAdvanceFar.h	44	0	OK	0 retail files
CCombatSequence_BanditAttackFar	CCombatSequence_BanditAttackFar.h	44	0	OK	0 retail files
CCombatSequence_BanditAttackMiddle	CCombatSequence_BanditAttackMiddle.h	44	0	OK	0 retail files
CCombatSequence_BanditAttackNear	CCombatSequence_BanditAttackNear.h	44	0	OK	0 retail files
CCombatSequence_BanditAttackSide	CCombatSequence_BanditAttackSide.h	44	0	OK	0 retail files
CCombatSequence_BanditBoast	CCombatSequence_BanditBoast.h	44	0	OK	0 retail files
CCombatSequence_BanditIdleMiddle	CCombatSequence_BanditIdleMiddle.h	44	0	OK	0 retail files
CCombatSequence_BanditIdleNear	CCombatSequence_BanditIdleNear.h	44	0	OK	0 retail files
CCombatSequence_BanditKingAdvance	CCombatSequence_BanditKingAdvance.h	44	0	OK	0 retail files
CCombatSequence_BanditKingAttack	CCombatSequence_BanditKingAttack.h	44	0	OK	0 retail files
CCombatSequence_BanditKingBackOff	CCombatSequence_BanditKingBackOff.h	44	0	OK	1 retail files
CCombatSequence_BanditKingSpinAround	CCombatSequence_BanditKingSpinAround.h	44	0	OK	0 retail files
CCombatSequence_BanditUnblockableAttack	CCombatSequence_BanditUnblockableAttack.h	44	0	OK	0 retail files
CCombatSequence_BattleCharge	CCombatSequence_BattleCharge.h	48	2	OK	0 retail files
CCombatSequence_FodderCombatIdle	CCombatSequence_FodderCombatIdle.h	44	0	OK	0 retail files
CCombatSequence_FodderMainAttack	CCombatSequence_FodderMainAttack.h	44	0	OK	0 retail files
CCombatSequence_FodderSecondaryAttack	CCombatSequence_FodderSecondaryAttack.h	44	0	OK	0 retail files
CCombatSequence_FodderUnblockableMainAttack	CCombatSequence_FodderUnblockableMainAttack.h	44	0	OK	0 retail files
CCombatSequence_GenericLeader	CCombatSequence_GenericLeader.h	44	0	OK	0 retail files
CCombatSequence_GenericRangedAttack	CCombatSequence_GenericRangedAttack.h	44	0	OK	0 retail files
CCombatSequence_KingScorpionTailPlunge	CCombatSequence_KingScorpionTailPlunge.h	44	0	OK	0 retail files
CCombatSequence_NonInterruptableBoxStrafe	CCombatSequence_NonInterruptableBoxStrafe.h	44	0	OK	0 retail files
CCombatSequence_ScorpionLungeAttack	CCombatSequence_ScorpionLungeAttack.h	48	2	OK	0 retail files
CCombatSequence_TrollBurrowPursue	CCombatSequence_TrollBurrowPursue.h	44	0	OK	0 retail files
CCombatSequence_TrollBurrowPursueNoZone	CCombatSequence_TrollBurrowPursueNoZone.h	44	0	OK	0 retail files
CCombatSequence_TrollDoubleSwipe	CCombatSequence_TrollDoubleSwipe.h	44	0	OK	0 retail files
CCombatSequence_TrollDoubleSwipeNonMelee	CCombatSequence_TrollDoubleSwipeNonMelee.h	44	0	OK	0 retail files
CCombatSequence_TrollOpeningGroundPound	CCombatSequence_TrollOpeningGroundPound.h	48	2	OK	0 retail files
CCombatSequence_TrollProjectileAttack	CCombatSequence_TrollProjectileAttack.h	44	0	OK	0 retail files
CCombatSequence_TrollRockAdvance	CCombatSequence_TrollRockAdvance.h	44	0	OK	0 retail files
CCombatSequence_TrollRockIdle	CCombatSequence_TrollRockIdle.h	44	0	OK	0 retail files
CCombatSequence_TrollRockPursue	CCombatSequence_TrollRockPursue.h	44	0	OK	0 retail files
CCombatSequence_TrollRockPursueNoZone	CCombatSequence_TrollRockPursueNoZone.h	44	0	OK	0 retail files
CCombatSequence_TrollRockShuffleBack	CCombatSequence_TrollRockShuffleBack.h	44	0	OK	0 retail files
CCombatSequence_TrollRockThrowRock	CCombatSequence_TrollRockThrowRock.h	44	0	OK	0 retail files
CCombatSequence_VillagerAdvance	CCombatSequence_VillagerAdvance.h	44	0	OK	0 retail files
CCombatSequence_VillagerAttack	CCombatSequence_VillagerAttack.h	44	0	OK	0 retail files
CCombatSequence_VillagerBackOff	CCombatSequence_VillagerBackOff.h	44	0	OK	0 retail files
CCombatSequence_VillagerCombo	CCombatSequence_VillagerCombo.h	44	0	OK	0 retail files
CCombatSequence_VillagerComboUnblockable	CCombatSequence_VillagerComboUnblockable.h	44	0	OK	1 retail files
CCombatSequence_VillagerNearAttack	CCombatSequence_VillagerNearAttack.h	44	0	OK	0 retail files
CCombatSequence_VillagerStepIn	CCombatSequence_VillagerStepIn.h	44	0	OK	0 retail files
CCombatSequence_WillEnflame	CCombatSequence_WillEnflame.h	44	0	OK	0 retail files
CCombatSequence_WillForcePush	CCombatSequence_WillForcePush.h	44	0	OK	0 retail files
CCombatSequence_WillForcePushLongRange	CCombatSequence_WillForcePushLongRange.h	44	0	OK	0 retail files
CCombatSequence_WillLightning	CCombatSequence_WillLightning.h	44	0	OK	0 retail files
CCombatSequence_WillPhysicalShield	CCombatSequence_WillPhysicalShield.h	44	0	OK	0 retail files
CCombatSequence_WillPhysicalShieldNonMelee	CCombatSequence_WillPhysicalShieldNonMelee.h	44	0	OK	0 retail files
CCombatTypeDef	CCombatTypeDef.h	192	21	OK	0 retail files
CComponent	_quarantine/CComponent.h	348	61	QUARANTINED	3 conflict(s) in 1 file(s) vs 0 agreeing
CCompressedMemoryDataInputStream	CCompressedMemoryDataInputStream.h	36	3	OK	0 retail files
CCompressorZlib	CCompressorZlib.h	92	17	OK	0 retail files
CConfigOptionsDefaultsDef	_quarantine/CConfigOptionsDefaultsDef.h	120	14	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CConsoleCommandBase	CConsoleCommandBase.h	24	2	OK	0 retail files
CContainerRewardHeroDef	_quarantine/CContainerRewardHeroDef.h	56	1	QUARANTINED	1 conflict(s) in 1 file(s) vs 1 agreeing
CContainmentVolume	CContainmentVolume.h	16	3	OK	0 retail files
CContextSensitiveItemDef	CContextSensitiveItemDef.h	60	5	OK	1 retail files
CControlsDef	_quarantine/CControlsDef.h	88	7	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCoopSpiritDef	_quarantine/CCoopSpiritDef.h	60	5	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCrateStackDef	CCrateStackDef.h	48	2	OK	1 retail files
CCreatureAbilityDef	_quarantine/CCreatureAbilityDef.h	68	1	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCreatureActionBase	CCreatureActionBase.h	180	35	OK	1 retail files
CCreatureActionHero180RunningTurn	CCreatureActionHero180RunningTurn.h	312	3	OK	0 retail files
CCreatureActionHeroJump	_quarantine/CCreatureActionHeroJump.h	300	6	QUARANTINED	1 conflict(s) in 1 file(s) vs 1 agreeing
CCreatureActionHeroRunningStop	CCreatureActionHeroRunningStop.h	300	0	OK	0 retail files
CCreatureAction_ActivateQuest	CCreatureAction_ActivateQuest.h	196	4	OK	0 retail files
CCreatureAction_AimMissileWeapon	CCreatureAction_AimMissileWeapon.h	188	1	OK	0 retail files
CCreatureAction_Ambush	CCreatureAction_Ambush.h	312	3	OK	0 retail files
CCreatureAction_BalverineBreakOffFromCombat	CCreatureAction_BalverineBreakOffFromCombat.h	300	0	OK	0 retail files
CCreatureAction_BalverineBreakOffFromCombatLong	CCreatureAction_BalverineBreakOffFromCombatLong.h	300	0	OK	0 retail files
CCreatureAction_BalverineCorneredJumpIntoSky	CCreatureAction_BalverineCorneredJumpIntoSky.h	304	1	OK	0 retail files
CCreatureAction_BalverineDropInFromSky	CCreatureAction_BalverineDropInFromSky.h	300	0	OK	0 retail files
CCreatureAction_BalverineLungeAttack	CCreatureAction_BalverineLungeAttack.h	300	0	OK	0 retail files
CCreatureAction_BanditKingAdvance	CCreatureAction_BanditKingAdvance.h	300	0	OK	0 retail files
CCreatureAction_BanditKingAttack	CCreatureAction_BanditKingAttack.h	304	3	OK	0 retail files
CCreatureAction_BanditKingBackOff	CCreatureAction_BanditKingBackOff.h	300	0	OK	0 retail files
CCreatureAction_BanditKingGetHit	CCreatureAction_BanditKingGetHit.h	352	0	OK	0 retail files
CCreatureAction_BanditKingLunge	CCreatureAction_BanditKingLunge.h	300	0	OK	0 retail files
CCreatureAction_BanditKingStuck	CCreatureAction_BanditKingStuck.h	320	3	OK	0 retail files
CCreatureAction_BanditKingThrowWeapons	CCreatureAction_BanditKingThrowWeapons.h	188	1	OK	0 retail files
CCreatureAction_BanditKingUnstuck	CCreatureAction_BanditKingUnstuck.h	304	3	OK	0 retail files
CCreatureAction_BattleChargeImpact	CCreatureAction_BattleChargeImpact.h	316	2	OK	0 retail files
CCreatureAction_BattleChargeMiss	CCreatureAction_BattleChargeMiss.h	316	2	OK	0 retail files
CCreatureAction_BattleChargeTurnLeft	CCreatureAction_BattleChargeTurnLeft.h	300	0	OK	0 retail files
CCreatureAction_BattleChargeTurnRight	CCreatureAction_BattleChargeTurnRight.h	300	0	OK	0 retail files
CCreatureAction_BeDazed	CCreatureAction_BeDazed.h	180	0	OK	0 retail files
CCreatureAction_BeStunned	_quarantine/CCreatureAction_BeStunned.h	184	1	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCreatureAction_BeingForcePushed	CCreatureAction_BeingForcePushed.h	300	0	OK	0 retail files
CCreatureAction_BlockBase	CCreatureAction_BlockBase.h	316	4	OK	0 retail files
CCreatureAction_BlockBroken	_quarantine/CCreatureAction_BlockBroken.h	300	0	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCreatureAction_BlockCounter	CCreatureAction_BlockCounter.h	300	0	OK	0 retail files
CCreatureAction_BlockRespond	CCreatureAction_BlockRespond.h	332	6	OK	0 retail files
CCreatureAction_BlowHorn	CCreatureAction_BlowHorn.h	188	1	OK	0 retail files
CCreatureAction_BodgeSideStrike	CCreatureAction_BodgeSideStrike.h	300	0	OK	0 retail files
CCreatureAction_BriarRoseConcentrateInto	CCreatureAction_BriarRoseConcentrateInto.h	312	2	OK	0 retail files
CCreatureAction_BriarRoseIntoInvulnerable	CCreatureAction_BriarRoseIntoInvulnerable.h	308	1	OK	0 retail files
CCreatureAction_BriarRoseShotFarInto	CCreatureAction_BriarRoseShotFarInto.h	300	0	OK	0 retail files
CCreatureAction_BriarRoseShotFarOutof	CCreatureAction_BriarRoseShotFarOutof.h	308	1	OK	0 retail files
CCreatureAction_BuildDrainLifeSpell	CCreatureAction_BuildDrainLifeSpell.h	300	0	OK	0 retail files
CCreatureAction_BuildFireballSpell	CCreatureAction_BuildFireballSpell.h	300	0	OK	0 retail files
CCreatureAction_BuildGhostSwordSpell	CCreatureAction_BuildGhostSwordSpell.h	300	0	OK	0 retail files
CCreatureAction_BuildHealLifeSpell	CCreatureAction_BuildHealLifeSpell.h	300	0	OK	0 retail files
CCreatureAction_BuildUpBattleCharge	CCreatureAction_BuildUpBattleCharge.h	300	0	OK	0 retail files
CCreatureAction_BuildUpDivineWrathSpell	CCreatureAction_BuildUpDivineWrathSpell.h	300	0	OK	0 retail files
CCreatureAction_BuildUpPhysicalShieldSpell	CCreatureAction_BuildUpPhysicalShieldSpell.h	300	0	OK	0 retail files
CCreatureAction_BuildUpTimeSpell	CCreatureAction_BuildUpTimeSpell.h	300	0	OK	0 retail files
CCreatureAction_BuildUpUnholyPowerSpell	CCreatureAction_BuildUpUnholyPowerSpell.h	300	0	OK	0 retail files
CCreatureAction_BuildUpWillEnflameSpell	CCreatureAction_BuildUpWillEnflameSpell.h	300	0	OK	0 retail files
CCreatureAction_BuildUpWillLightningSpell	CCreatureAction_BuildUpWillLightningSpell.h	300	0	OK	0 retail files
CCreatureAction_BuildUpWillSummonSpell	CCreatureAction_BuildUpWillSummonSpell.h	300	0	OK	0 retail files
CCreatureAction_BuildWillForceSpell	CCreatureAction_BuildWillForceSpell.h	300	0	OK	0 retail files
CCreatureAction_BuildWillTurncoatSpell	CCreatureAction_BuildWillTurncoatSpell.h	300	0	OK	0 retail files
CCreatureAction_CastAssassinRush	CCreatureAction_CastAssassinRush.h	336	8	OK	0 retail files
CCreatureAction_CastBattleCharge	CCreatureAction_CastBattleCharge.h	328	5	OK	0 retail files
CCreatureAction_CastDivineWrathSpell	CCreatureAction_CastDivineWrathSpell.h	300	0	OK	0 retail files
CCreatureAction_CastPhysicalShieldSpell	CCreatureAction_CastPhysicalShieldSpell.h	316	5	OK	0 retail files
CCreatureAction_CastSkillMultiArrow	CCreatureAction_CastSkillMultiArrow.h	304	1	OK	0 retail files
CCreatureAction_CastStrengthBerserk	CCreatureAction_CastStrengthBerserk.h	300	0	OK	0 retail files
CCreatureAction_CastStrengthMultiStrike	CCreatureAction_CastStrengthMultiStrike.h	304	1	OK	0 retail files
CCreatureAction_CastStrengthMultiStrikeProper	CCreatureAction_CastStrengthMultiStrikeProper.h	304	1	OK	0 retail files
CCreatureAction_CastTimeSpell	CCreatureAction_CastTimeSpell.h	304	1	OK	0 retail files
CCreatureAction_CastUnholyPowerSpell	CCreatureAction_CastUnholyPowerSpell.h	300	0	OK	0 retail files
CCreatureAction_CastWillEnflameSpell	CCreatureAction_CastWillEnflameSpell.h	308	2	OK	0 retail files
CCreatureAction_CastWillFireballSpell	CCreatureAction_CastWillFireballSpell.h	308	3	OK	0 retail files
CCreatureAction_CastWillForceSpell	CCreatureAction_CastWillForceSpell.h	308	3	OK	0 retail files
CCreatureAction_CastWillGhostSwordSpell	CCreatureAction_CastWillGhostSwordSpell.h	304	1	OK	0 retail files
CCreatureAction_CastWillLightningSpell	CCreatureAction_CastWillLightningSpell.h	308	2	OK	0 retail files
CCreatureAction_CastWillSummonSpell	CCreatureAction_CastWillSummonSpell.h	304	1	OK	0 retail files
CCreatureAction_Charge	CCreatureAction_Charge.h	300	0	OK	0 retail files
CCreatureAction_CombatBoast	CCreatureAction_CombatBoast.h	300	0	OK	0 retail files
CCreatureAction_CombatIdle	CCreatureAction_CombatIdle.h	300	0	OK	0 retail files
CCreatureAction_Curiosity	CCreatureAction_Curiosity.h	180	0	OK	0 retail files
CCreatureAction_DiagonalStrafeBL	CCreatureAction_DiagonalStrafeBL.h	300	0	OK	0 retail files
CCreatureAction_DiagonalStrafeBR	CCreatureAction_DiagonalStrafeBR.h	300	0	OK	0 retail files
CCreatureAction_Die	CCreatureAction_Die.h	184	1	OK	1 retail files
CCreatureAction_DowseFire	CCreatureAction_DowseFire.h	200	3	OK	0 retail files
CCreatureAction_DragonBurninateInto	CCreatureAction_DragonBurninateInto.h	360	12	OK	0 retail files
CCreatureAction_DragonFireBlastBase	CCreatureAction_DragonFireBlastBase.h	316	2	OK	0 retail files
CCreatureAction_DragonFlight	CCreatureAction_DragonFlight.h	308	3	OK	1 retail files
CCreatureAction_DragonHoverOutOf	CCreatureAction_DragonHoverOutOf.h	300	0	OK	0 retail files
CCreatureAction_DragonLand	CCreatureAction_DragonLand.h	300	0	OK	0 retail files
CCreatureAction_DragonRearUpFull	CCreatureAction_DragonRearUpFull.h	308	1	OK	0 retail files
CCreatureAction_DragonRearUpInto	CCreatureAction_DragonRearUpInto.h	304	1	OK	0 retail files
CCreatureAction_DragonRearUpOutOf	CCreatureAction_DragonRearUpOutOf.h	300	0	OK	0 retail files
CCreatureAction_DragonRetreat	CCreatureAction_DragonRetreat.h	300	0	OK	0 retail files
CCreatureAction_DragonStrafeOutOf	CCreatureAction_DragonStrafeOutOf.h	300	0	OK	0 retail files
CCreatureAction_DragonSwoop	CCreatureAction_DragonSwoop.h	336	1	OK	0 retail files
CCreatureAction_DragonTakeOffIntoFlying	CCreatureAction_DragonTakeOffIntoFlying.h	364	13	OK	0 retail files
CCreatureAction_DropGenericBox	CCreatureAction_DropGenericBox.h	180	0	OK	0 retail files
CCreatureAction_FillBucket	CCreatureAction_FillBucket.h	188	1	OK	0 retail files
CCreatureAction_FinishDrainLifeSpell	CCreatureAction_FinishDrainLifeSpell.h	300	0	OK	0 retail files
CCreatureAction_FinishFireballSpell	CCreatureAction_FinishFireballSpell.h	300	0	OK	0 retail files
CCreatureAction_FinishGhostSwordSpell	CCreatureAction_FinishGhostSwordSpell.h	300	0	OK	0 retail files
CCreatureAction_FinishHealLifeSpell	CCreatureAction_FinishHealLifeSpell.h	300	0	OK	0 retail files
CCreatureAction_FinishWillForceSpell	CCreatureAction_FinishWillForceSpell.h	300	0	OK	0 retail files
CCreatureAction_FinishWillTurncoatSpell	CCreatureAction_FinishWillTurncoatSpell.h	300	0	OK	0 retail files
CCreatureAction_FireMissileWeapon	CCreatureAction_FireMissileWeapon.h	212	7	OK	0 retail files
CCreatureAction_FodderIdle	CCreatureAction_FodderIdle.h	300	0	OK	0 retail files
CCreatureAction_FodderPrimaryAttack	CCreatureAction_FodderPrimaryAttack.h	300	0	OK	0 retail files
CCreatureAction_FodderSecondaryAttack	CCreatureAction_FodderSecondaryAttack.h	300	0	OK	0 retail files
CCreatureAction_FodderUnblockablePrimaryAttack	CCreatureAction_FodderUnblockablePrimaryAttack.h	300	0	OK	0 retail files
CCreatureAction_ForcePushOutOf	CCreatureAction_ForcePushOutOf.h	304	1	OK	0 retail files
CCreatureAction_GeneralInterruptedAttack	CCreatureAction_GeneralInterruptedAttack.h	300	0	OK	0 retail files
CCreatureAction_GenericAimProjectileWeapon	CCreatureAction_GenericAimProjectileWeapon.h	300	1	OK	0 retail files
CCreatureAction_GenericFireProjectileWeapon	CCreatureAction_GenericFireProjectileWeapon.h	300	0	OK	0 retail files
CCreatureAction_GenericLeaderCommand	CCreatureAction_GenericLeaderCommand.h	300	0	OK	0 retail files
CCreatureAction_GenericLoadProjectileWeapon	CCreatureAction_GenericLoadProjectileWeapon.h	300	0	OK	0 retail files
CCreatureAction_GenericStrafeLeft	CCreatureAction_GenericStrafeLeft.h	300	0	OK	0 retail files
CCreatureAction_GenericStrafeRight	CCreatureAction_GenericStrafeRight.h	300	0	OK	0 retail files
CCreatureAction_GetInBed	CCreatureAction_GetInBed.h	204	5	OK	0 retail files
CCreatureAction_GetOutOfBed	CCreatureAction_GetOutOfBed.h	188	2	OK	0 retail files
CCreatureAction_GetUpFromSitting	_quarantine/CCreatureAction_GetUpFromSitting.h	308	4	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCreatureAction_GoUnderground	CCreatureAction_GoUnderground.h	300	0	OK	0 retail files
CCreatureAction_Hammer	CCreatureAction_Hammer.h	188	1	OK	0 retail files
CCreatureAction_HeroLoadRangedWeapon	CCreatureAction_HeroLoadRangedWeapon.h	196	2	OK	0 retail files
CCreatureAction_HobbeLungeAttack	CCreatureAction_HobbeLungeAttack.h	300	0	OK	0 retail files
CCreatureAction_IceTrollIcicleAssaultInto	CCreatureAction_IceTrollIcicleAssaultInto.h	300	0	OK	0 retail files
CCreatureAction_IceTrollIcicleAssaultLoop	_quarantine/CCreatureAction_IceTrollIcicleAssaultLoop.h	300	0	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCreatureAction_IceTrollIcicleAttack	CCreatureAction_IceTrollIcicleAttack.h	300	0	OK	0 retail files
CCreatureAction_InterruptableFarAttack	CCreatureAction_InterruptableFarAttack.h	300	0	OK	0 retail files
CCreatureAction_InterruptableMidAttack	CCreatureAction_InterruptableMidAttack.h	304	1	OK	0 retail files
CCreatureAction_InterruptableMidAttackAutoTurn	CCreatureAction_InterruptableMidAttackAutoTurn.h	324	5	OK	0 retail files
CCreatureAction_JackDeathInto	CCreatureAction_JackDeathInto.h	300	0	OK	0 retail files
CCreatureAction_JackFall	CCreatureAction_JackFall.h	300	0	OK	0 retail files
CCreatureAction_JackFlash	CCreatureAction_JackFlash.h	300	0	OK	0 retail files
CCreatureAction_JackFloatUp	CCreatureAction_JackFloatUp.h	316	4	OK	0 retail files
CCreatureAction_JackGetUp	_quarantine/CCreatureAction_JackGetUp.h	300	0	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCreatureAction_JackOfBladesUnblockableMidAttackNoBlend	CCreatureAction_JackOfBladesUnblockableMidAttackNoBlend.h	300	0	OK	0 retail files
CCreatureAction_JackScream	CCreatureAction_JackScream.h	308	2	OK	0 retail files
CCreatureAction_JackShotFar	CCreatureAction_JackShotFar.h	300	0	OK	0 retail files
CCreatureAction_JackShotFloat	CCreatureAction_JackShotFloat.h	300	0	OK	0 retail files
CCreatureAction_JackShotNear	CCreatureAction_JackShotNear.h	300	0	OK	0 retail files
CCreatureAction_LeapBack	CCreatureAction_LeapBack.h	300	0	OK	0 retail files
CCreatureAction_LeapLong	CCreatureAction_LeapLong.h	304	2	OK	0 retail files
CCreatureAction_MidAttackFacing	CCreatureAction_MidAttackFacing.h	300	0	OK	0 retail files
CCreatureAction_NymphGetHit	CCreatureAction_NymphGetHit.h	364	5	OK	0 retail files
CCreatureAction_NymphGetHitDie	CCreatureAction_NymphGetHitDie.h	356	1	OK	1 retail files
CCreatureAction_NymphIdleAfterShot	CCreatureAction_NymphIdleAfterShot.h	300	0	OK	0 retail files
CCreatureAction_NymphShot	CCreatureAction_NymphShot.h	300	0	OK	0 retail files
CCreatureAction_NymphSummonInto	CCreatureAction_NymphSummonInto.h	300	0	OK	0 retail files
CCreatureAction_NymphSummonOutOf	CCreatureAction_NymphSummonOutOf.h	300	1	OK	0 retail files
CCreatureAction_NymphTeleportLimboBase	CCreatureAction_NymphTeleportLimboBase.h	300	0	OK	0 retail files
CCreatureAction_OnGenerate	CCreatureAction_OnGenerate.h	300	0	OK	0 retail files
CCreatureAction_OpenChest	CCreatureAction_OpenChest.h	188	1	OK	0 retail files
CCreatureAction_PerformExpression	CCreatureAction_PerformExpression.h	212	11	OK	2 retail files
CCreatureAction_PerformExpressionExtended	CCreatureAction_PerformExpressionExtended.h	212	8	OK	1 retail files
CCreatureAction_PickCrop	CCreatureAction_PickCrop.h	188	2	OK	0 retail files
CCreatureAction_PickUpGenericBox	CCreatureAction_PickUpGenericBox.h	188	1	OK	0 retail files
CCreatureAction_PickUpGoods	CCreatureAction_PickUpGoods.h	188	1	OK	0 retail files
CCreatureAction_PickupGameObject	CCreatureAction_PickupGameObject.h	188	1	OK	0 retail files
CCreatureAction_PlayAnimation	CCreatureAction_PlayAnimation.h	192	9	OK	0 retail files
CCreatureAction_PlayAnimationFromIndex	CCreatureAction_PlayAnimationFromIndex.h	180	0	OK	0 retail files
CCreatureAction_PlayAnimationWithLookTurning	CCreatureAction_PlayAnimationWithLookTurning.h	192	0	OK	0 retail files
